dataset,linkage,mode,threads,n_points,wall_ms
zelnik6,single,cuda,4,238,1749.14
zelnik6,complete,cuda,4,238,2568.64
zelnik6,average,cuda,4,238,2552.19
zelnik6,ward,cuda,4,238,1913.18
zelnik6,centroid,cuda,4,238,1912.02
zelnik6,median,cuda,4,238,1907.23
zelnik1,single,cuda,4,299,1743.62
zelnik1,complete,cuda,4,299,3473.15
zelnik1,average,cuda,4,299,3065.30
zelnik1,ward,cuda,4,299,2437.35
zelnik1,centroid,cuda,4,299,1873.71
zelnik1,median,cuda,4,299,2609.22
3MC,single,cuda,4,400,4143.98
3MC,complete,cuda,4,400,4036.37
3MC,average,cuda,4,400,1780.22
3MC,ward,cuda,4,400,3157.54
3MC,centroid,cuda,4,400,3191.84
3MC,median,cuda,4,400,3158.68
target,single,cuda,4,770,6783.02
target,complete,cuda,4,770,7231.00
target,average,cuda,4,770,7974.69
target,ward,cuda,4,770,5871.97
target,centroid,cuda,4,770,4668.07
target,median,cuda,4,770,5356.44
2spiral,single,cuda,4,1000,26227.57
2spiral,complete,cuda,4,1000,8885.68
2spiral,average,cuda,4,1000,9426.87
2spiral,ward,cuda,4,1000,6852.55
2spiral,centroid,cuda,4,1000,8023.79
2spiral,median,cuda,4,1000,6453.00
smile2,single,cuda,4,1000,12638.78
smile2,complete,cuda,4,1000,10791.23
smile2,average,cuda,4,1000,9705.04
smile2,ward,cuda,4,1000,7474.03
smile2,centroid,cuda,4,1000,7207.33
smile2,median,cuda,4,1000,7552.64
diamond9,single,cuda,4,3000,32146.12
diamond9,complete,cuda,4,3000,32195.18
diamond9,average,cuda,4,3000,33091.39
diamond9,ward,cuda,4,3000,24063.22
diamond9,centroid,cuda,4,3000,23199.67
diamond9,median,cuda,4,3000,22855.57
complex9,single,cuda,4,3031,37519.44
complex9,complete,cuda,4,3031,32536.58
complex9,average,cuda,4,3031,33633.61
complex9,ward,cuda,4,3031,24167.48
complex9,centroid,cuda,4,3031,7263.29
complex9,median,cuda,4,3031,23712.17
