cluster_i,cluster_j,distance,count
142,269,0.010440,2
312,333,0.015264,2
359,399,0.019026,2
298,329,0.022204,2
366,383,0.023000,2
2,111,0.024515,2
291,367,0.024597,2
231,266,0.025020,2
16,63,0.025060,2
332,358,0.025632,2
313,341,0.026926,2
203,235,0.028018,2
31,43,0.031765,2
322,349,0.033734,2
330,371,0.034000,2
130,195,0.035609,2
378,392,0.037202,2
34,91,0.037643,2
402,362,0.038589,3
15,42,0.038626,2
307,395,0.038639,2
296,324,0.039115,2
295,320,0.041231,2
290,410,0.041905,3
317,325,0.046043,2
293,346,0.048010,2
301,345,0.049041,2
11,28,0.049649,2
304,361,0.050488,2
159,172,0.051264,2
309,373,0.051865,2
423,390,0.054080,4
239,271,0.055902,2
403,387,0.056065,3
379,385,0.057245,2
350,416,0.059065,3
89,116,0.059076,2
306,340,0.061000,2
38,46,0.061400,2
201,242,0.061660,2
66,108,0.061685,2
310,337,0.062298,2
318,384,0.063600,2
294,377,0.063891,2
205,262,0.065008,2
401,397,0.066823,3
360,394,0.067067,2
302,347,0.068680,2
422,334,0.069867,3
238,288,0.071197,2
200,280,0.071561,2
74,77,0.072560,2
41,85,0.072670,2
175,192,0.072719,2
144,161,0.073007,2
331,393,0.073062,2
339,375,0.073389,2
72,99,0.073546,2
133,157,0.074525,2
166,198,0.074673,2
169,219,0.076158,2
173,196,0.077162,2
26,92,0.077414,2
425,391,0.077717,3
430,380,0.078925,3
308,356,0.079057,2
437,352,0.079128,3
152,186,0.080505,2
212,281,0.083217,2
162,202,0.084433,2
297,426,0.084855,3
414,409,0.085000,4
52,71,0.085381,2
256,283,0.085796,2
103,114,0.086209,2
405,82,0.087839,3
404,398,0.091037,3
180,194,0.091706,2
131,176,0.092022,2
400,217,0.092624,3
433,413,0.094509,5
315,382,0.094847,2
299,389,0.095037,2
102,113,0.095441,2
127,240,0.097082,2
45,115,0.098087,2
270,275,0.099930,2
155,255,0.102786,2
35,95,0.103160,2
247,260,0.104389,2
455,396,0.105159,3
328,374,0.105224,2
471,342,0.107703,5
87,112,0.108904,2
14,18,0.109041,2
222,232,0.110023,2
37,65,0.110309,2
36,83,0.111158,2
464,354,0.111289,4
363,476,0.111376,4
442,351,0.111562,3
327,435,0.111586,4
424,372,0.112750,3
338,381,0.114004,2
128,439,0.115349,3
431,365,0.117881,5
9,472,0.118621,3
282,287,0.118966,2
13,118,0.119503,2
305,492,0.119522,6
58,94,0.119854,2
223,265,0.120801,2
0,119,0.121037,2
447,355,0.121099,3
470,357,0.121983,4
1,88,0.122102,2
129,258,0.122102,2
481,446,0.124279,4
448,465,0.124738,5
10,107,0.125160,2
500,369,0.125474,4
55,80,0.126696,2
479,178,0.127288,4
440,69,0.128081,3
122,188,0.128082,2
135,215,0.128798,2
251,278,0.128888,2
40,61,0.129468,2
376,434,0.130163,3
450,230,0.134202,3
512,44,0.134857,3
143,253,0.136854,2
140,174,0.137317,2
421,441,0.138574,4
497,98,0.140320,3
303,368,0.140698,2
50,62,0.143056,2
4,436,0.144418,3
134,181,0.144420,2
513,335,0.144782,4
8,24,0.145962,2
33,93,0.146455,2
147,460,0.146678,3
336,364,0.146769,2
125,191,0.147513,2
29,81,0.149402,2
514,490,0.150321,7
454,229,0.151347,3
540,90,0.151697,3
443,348,0.154627,3
463,386,0.154853,4
420,321,0.155873,3
182,249,0.159110,2
311,353,0.161892,2
47,110,0.162262,2
5,104,0.163086,2
406,323,0.163489,3
502,501,0.164851,7
123,151,0.165245,2
167,189,0.165560,2
419,109,0.167746,3
504,146,0.170810,4
319,499,0.171445,5
199,274,0.173003,2
214,248,0.173303,2
427,451,0.174118,4
493,106,0.175754,3
138,244,0.176465,2
132,487,0.180307,3
480,418,0.181246,8
19,64,0.182025,2
411,254,0.182618,3
170,206,0.183439,2
300,498,0.184635,5
467,432,0.184866,4
517,388,0.184896,5
370,528,0.185539,4
53,96,0.187830,2
209,449,0.189291,3
482,314,0.190565,3
193,245,0.190709,2
57,76,0.191010,2
