cluster_i,cluster_j,distance,count
142,269,0.010440,2
312,333,0.015264,2
359,399,0.019026,2
298,329,0.022204,2
366,383,0.023000,2
2,111,0.024515,2
291,367,0.024597,2
231,266,0.025020,2
16,63,0.025060,2
332,358,0.025632,2
313,341,0.026926,2
203,235,0.028018,2
31,43,0.031765,2
322,349,0.033734,2
330,371,0.034000,2
130,195,0.035609,2
378,392,0.037202,2
34,91,0.037643,2
402,362,0.038138,3
15,42,0.038626,2
307,395,0.038639,2
296,324,0.039115,2
290,410,0.039966,3
295,320,0.041231,2
317,325,0.046043,2
293,346,0.048010,2
301,345,0.049041,2
11,28,0.049649,2
422,390,0.050069,4
304,361,0.050488,2
159,172,0.051264,2
309,373,0.051865,2
239,271,0.055902,2
403,387,0.056056,3
350,416,0.057009,3
379,385,0.057245,2
89,116,0.059076,2
306,340,0.061000,2
38,46,0.061400,2
201,242,0.061660,2
66,108,0.061685,2
310,337,0.062298,2
318,384,0.063600,2
294,377,0.063891,2
205,262,0.065008,2
401,397,0.066665,3
360,394,0.067067,2
423,334,0.067067,3
302,347,0.068680,2
238,288,0.071197,2
200,280,0.071561,2
74,77,0.072560,2
41,85,0.072670,2
175,192,0.072719,2
144,161,0.073007,2
437,352,0.073015,3
331,393,0.073062,2
339,375,0.073389,2
72,99,0.073546,2
133,157,0.074525,2
166,198,0.074673,2
169,219,0.076158,2
173,196,0.077162,2
425,391,0.077326,3
26,92,0.077414,2
431,380,0.078629,3
308,356,0.079057,2
152,186,0.080505,2
297,426,0.081371,3
212,281,0.083217,2
414,409,0.083715,4
162,202,0.084433,2
52,71,0.085381,2
256,283,0.085796,2
103,114,0.086209,2
405,82,0.087643,3
404,398,0.090864,3
433,413,0.091203,5
180,194,0.091706,2
131,176,0.092022,2
400,217,0.092581,3
315,382,0.094847,2
299,389,0.095037,2
102,113,0.095441,2
127,240,0.097082,2
45,115,0.098087,2
456,396,0.099199,3
270,275,0.099930,2
470,342,0.101307,5
363,476,0.102686,4
155,255,0.102786,2
35,95,0.103160,2
465,354,0.103726,4
247,260,0.104389,2
328,374,0.105224,2
442,369,0.107132,3
305,488,0.108666,6
87,112,0.108904,2
14,18,0.109041,2
327,434,0.109130,4
222,232,0.110023,2
37,65,0.110309,2
9,472,0.110718,3
36,83,0.111158,2
424,372,0.111830,3
481,446,0.112510,4
128,439,0.113853,3
338,381,0.114004,2
468,357,0.115244,4
495,351,0.116362,4
428,365,0.116579,5
448,355,0.117197,3
282,287,0.118966,2
13,118,0.119503,2
58,94,0.119854,2
447,466,0.120251,5
223,265,0.120801,2
0,119,0.121037,2
517,44,0.120551,3
1,88,0.122102,2
129,258,0.122102,2
10,107,0.125160,2
440,69,0.125779,3
55,80,0.126696,2
480,178,0.127253,4
122,188,0.128082,2
376,435,0.128558,3
135,215,0.128798,2
251,278,0.128888,2
40,61,0.129468,2
503,98,0.131472,3
511,335,0.133535,4
508,486,0.133601,7
450,230,0.134008,3
421,441,0.134076,4
143,253,0.136854,2
140,174,0.137317,2
303,368,0.140698,2
147,461,0.141676,3
50,62,0.143056,2
4,436,0.144203,3
134,181,0.144420,2
8,24,0.145962,2
542,90,0.133046,3
33,93,0.146455,2
336,364,0.146769,2
125,191,0.147513,2
454,229,0.147806,3
29,81,0.149402,2
504,499,0.151725,7
443,348,0.152265,3
463,386,0.154760,4
420,321,0.155423,3
182,249,0.159110,2
506,146,0.161412,4
311,353,0.161892,2
47,110,0.162262,2
406,323,0.163038,3
5,104,0.163086,2
123,151,0.165245,2
167,189,0.165560,2
319,489,0.165576,5
419,109,0.166643,3
525,490,0.166825,4
497,106,0.169650,3
199,274,0.173003,2
214,248,0.173303,2
427,451,0.173961,4
370,526,0.175013,4
505,388,0.175153,5
138,244,0.176465,2
300,492,0.179067,5
477,418,0.179514,8
19,64,0.182025,2
411,254,0.182390,3
170,206,0.183439,2
531,316,0.183731,5
467,432,0.183860,4
482,314,0.186078,3
53,96,0.187830,2
471,528,0.187841,4
209,449,0.188120,3
