cluster_i,cluster_j,distance,count
265,278,0.031623,2
260,262,0.036056,2
50,84,0.041231,2
16,28,0.050991,2
202,229,0.058310,2
175,194,0.064030,2
113,135,0.064031,2
223,247,0.064032,2
100,136,0.072111,2
308,138,0.072111,3
253,266,0.072801,2
8,43,0.076157,2
11,23,0.076157,2
196,198,0.076158,2
80,83,0.080623,2
310,270,0.081394,3
9,45,0.085440,2
34,41,0.089442,2
47,49,0.089443,2
105,148,0.092195,2
227,238,0.098489,2
143,145,0.100499,2
309,114,0.102035,4
150,151,0.108166,2
228,243,0.111804,2
271,282,0.111804,2
217,222,0.114018,2
87,94,0.116619,2
140,141,0.120000,2
25,29,0.120416,2
212,224,0.120830,2
171,181,0.128062,2
210,234,0.131530,2
263,287,0.133418,2
81,86,0.136015,2
159,189,0.136016,2
71,74,0.145602,2
221,239,0.152315,2
330,320,0.152398,4
200,231,0.156524,2
55,95,0.160312,2
162,197,0.161555,2
316,24,0.165303,3
6,44,0.166433,2
325,283,0.169189,3
123,130,0.170294,2
156,172,0.174642,2
178,187,0.174643,2
306,116,0.180069,3
58,97,0.183848,2
129,142,0.184391,2
305,185,0.186077,3
70,89,0.189737,2
32,38,0.189737,2
18,31,0.191049,2
303,36,0.191442,3
168,195,0.193132,2
60,85,0.193132,2
321,149,0.195000,3
106,120,0.197231,2
158,190,0.197231,2
53,59,0.198494,2
180,313,0.200124,3
111,132,0.200998,2
268,275,0.200998,2
201,246,0.202486,2
214,326,0.209881,3
204,240,0.210238,2
269,279,0.210949,2
139,147,0.210950,2
12,317,0.219317,3
349,73,0.219659,3
213,215,0.223606,2
164,347,0.224556,3
0,26,0.228035,2
208,216,0.228035,2
256,292,0.228255,2
376,333,0.227431,4
131,144,0.228473,2
90,98,0.233452,2
161,186,0.235374,2
267,299,0.237697,2
102,127,0.237697,2
251,276,0.237697,2
176,184,0.240416,2
133,369,0.245204,3
351,384,0.245639,5
108,117,0.246982,2
274,291,0.247588,2
77,79,0.250799,2
334,82,0.255196,3
344,298,0.265183,4
362,192,0.268329,4
327,88,0.275136,3
19,33,0.278925,2
339,245,0.281825,3
1,311,0.283991,3
56,63,0.286356,2
357,336,0.288141,4
78,99,0.288444,2
257,381,0.289008,3
233,241,0.289999,2
361,62,0.290259,3
154,167,0.290690,2
332,230,0.294491,3
122,345,0.298412,3
250,391,0.299927,5
10,48,0.300667,2
103,128,0.302655,2
163,177,0.304794,2
125,134,0.305941,2
211,324,0.306472,3
301,280,0.316425,3
285,288,0.322800,2
372,220,0.325577,3
335,341,0.327566,4
61,67,0.328938,2
353,318,0.330151,4
315,295,0.330673,4
107,146,0.331361,2
191,193,0.331361,2
206,244,0.337343,2
226,235,0.340588,2
328,358,0.342053,5
160,373,0.343187,4
346,380,0.348892,4
371,76,0.350872,4
57,389,0.351461,3
402,54,0.351821,4
293,294,0.357771,2
166,170,0.362216,2
364,284,0.367695,3
359,118,0.367865,3
