cluster_i,cluster_j,distance,count
265,278,0.031623,2
260,262,0.036056,2
50,84,0.041231,2
16,28,0.050991,2
202,229,0.058310,2
175,194,0.064030,2
113,135,0.064031,2
223,247,0.064032,2
100,136,0.072111,2
253,266,0.072801,2
8,43,0.076157,2
11,23,0.076157,2
196,198,0.076158,2
308,138,0.080623,3
80,83,0.080623,2
9,45,0.085440,2
34,41,0.089442,2
47,49,0.089443,2
105,148,0.092195,2
309,270,0.092196,3
227,238,0.098489,2
143,145,0.100499,2
150,151,0.108166,2
228,243,0.111804,2
271,282,0.111804,2
217,222,0.114018,2
87,94,0.116619,2
140,141,0.120000,2
25,29,0.120416,2
212,224,0.120830,2
171,181,0.128062,2
210,234,0.131530,2
263,287,0.133418,2
81,86,0.136015,2
159,189,0.136016,2
313,114,0.144222,4
71,74,0.145602,2
221,239,0.152315,2
200,231,0.156524,2
55,95,0.160312,2
162,197,0.161555,2
6,44,0.166433,2
123,130,0.170294,2
156,172,0.174642,2
178,187,0.174643,2
58,97,0.183848,2
129,142,0.184391,2
315,24,0.186816,3
70,89,0.189737,2
32,38,0.189737,2
18,31,0.191049,2
168,195,0.193132,2
60,85,0.193132,2
106,120,0.197231,2
158,190,0.197231,2
53,59,0.198494,2
324,283,0.198494,3
111,132,0.200998,2
268,275,0.200998,2
306,116,0.200998,3
201,246,0.202486,2
303,36,0.208087,3
305,185,0.209999,3
204,240,0.210238,2
269,279,0.210949,2
139,147,0.210950,2
213,215,0.223606,2
0,26,0.228035,2
208,216,0.228035,2
329,320,0.228254,4
256,292,0.228255,2
131,144,0.228473,2
180,312,0.231947,3
90,98,0.233452,2
161,186,0.235374,2
267,299,0.237697,2
102,127,0.237697,2
251,276,0.237697,2
176,184,0.240416,2
345,73,0.243516,3
321,149,0.243516,3
108,117,0.246982,2
274,291,0.247588,2
214,325,0.250200,3
77,79,0.250799,2
12,316,0.264007,3
164,344,0.272948,3
19,33,0.278925,2
56,63,0.286356,2
78,99,0.288444,2
233,241,0.289999,2
154,167,0.290690,2
326,88,0.292746,3
10,48,0.300667,2
103,128,0.302655,2
163,177,0.304794,2
125,134,0.305941,2
133,365,0.306105,3
333,82,0.311448,3
122,342,0.317805,3
1,310,0.322026,3
285,288,0.322800,2
372,192,0.326497,4
370,332,0.326497,4
61,67,0.328938,2
107,146,0.331361,2
191,193,0.331361,2
301,280,0.332416,3
54,62,0.336155,2
206,244,0.337343,2
226,235,0.340588,2
331,230,0.341321,3
338,245,0.346699,3
293,294,0.357771,2
211,323,0.358469,3
250,356,0.359026,4
166,170,0.362216,2
52,336,0.363456,3
257,375,0.364006,3
319,295,0.370001,4
124,327,0.371080,3
13,37,0.382884,2
362,378,0.390512,5
157,173,0.393194,2
2,5,0.395601,2
307,242,0.399625,3
64,72,0.401622,2
322,160,0.401995,3
101,109,0.404969,2
57,384,0.404969,3
219,248,0.411096,2
311,46,0.412310,3
272,289,0.417852,2
