cluster_i,cluster_j,distance,count
265,278,0.031623,2
260,262,0.036056,2
50,84,0.041231,2
16,28,0.050991,2
202,229,0.058310,2
175,194,0.064030,2
113,135,0.064031,2
223,247,0.064032,2
100,136,0.072111,2
253,266,0.072801,2
8,43,0.076157,2
11,23,0.076157,2
196,198,0.076158,2
308,138,0.080623,3
80,83,0.080623,2
313,114,0.082462,4
9,45,0.085440,2
309,270,0.086023,3
34,41,0.089442,2
47,49,0.089443,2
105,148,0.092195,2
227,238,0.098489,2
143,145,0.100499,2
150,151,0.108166,2
228,243,0.111804,2
271,282,0.111804,2
217,222,0.114018,2
87,94,0.116619,2
212,321,0.120000,3
140,141,0.120000,2
25,29,0.120416,2
328,224,0.120830,4
171,181,0.128062,2
210,234,0.131530,2
263,287,0.133418,2
81,86,0.136015,2
159,189,0.136016,2
71,74,0.145602,2
322,149,0.147648,3
221,239,0.152315,2
316,24,0.152971,3
325,283,0.155241,3
200,231,0.156524,2
55,95,0.160312,2
162,197,0.161555,2
306,116,0.162788,3
305,185,0.164924,3
6,44,0.166433,2
123,130,0.170294,2
180,312,0.170879,3
156,172,0.174642,2
12,318,0.174642,3
178,187,0.174643,2
303,36,0.176917,3
214,326,0.178885,3
346,184,0.181108,4
58,97,0.183848,2
129,142,0.184391,2
70,89,0.189737,2
32,38,0.189737,2
18,31,0.191049,2
168,195,0.193132,2
60,85,0.193132,2
332,349,0.194166,5
106,120,0.197231,2
158,190,0.197231,2
359,319,0.197990,4
53,59,0.198494,2
256,334,0.200000,3
111,132,0.200998,2
268,275,0.200998,2
201,246,0.202486,2
164,352,0.203962,3
250,341,0.206155,4
335,82,0.206155,3
350,186,0.210001,3
204,240,0.210238,2
269,279,0.210949,2
139,147,0.210950,2
336,344,0.212602,4
373,298,0.219318,5
52,337,0.220227,3
133,378,0.220907,3
213,215,0.223606,2
342,245,0.225611,3
0,26,0.228035,2
208,216,0.228035,2
368,292,0.228255,4
131,144,0.228473,2
356,73,0.232594,3
90,98,0.233452,2
355,176,0.233452,5
375,161,0.235374,4
267,299,0.237697,2
102,127,0.237697,2
251,276,0.237697,2
381,362,0.240832,5
363,192,0.240832,6
367,62,0.241868,3
394,117,0.245153,3
383,220,0.245968,3
1,310,0.245969,3
399,108,0.246982,4
358,390,0.247386,4
274,291,0.247588,2
257,393,0.250600,3
77,79,0.250799,2
109,382,0.254951,4
211,324,0.256125,3
333,230,0.256126,3
340,19,0.260002,4
385,330,0.263059,4
410,22,0.265707,5
327,88,0.269258,3
411,351,0.269258,7
364,118,0.269258,3
405,296,0.270186,4
370,284,0.272946,3
380,317,0.276587,8
160,372,0.277849,4
412,33,0.278925,6
389,76,0.280179,4
402,137,0.282312,5
56,63,0.286356,2
78,99,0.288444,2
233,241,0.289999,2
154,167,0.290690,2
361,174,0.291205,3
384,400,0.297322,6
418,295,0.297322,9
423,403,0.298329,6
301,280,0.300666,3
10,48,0.300667,2
