dataset,linkage,mode,threads,n_points,wall_ms
zelnik6,single,parallel,4,238,29.06
zelnik6,complete,parallel,4,238,15.91
zelnik6,average,parallel,4,238,30.64
zelnik6,ward,parallel,4,238,52.48
zelnik6,centroid,parallel,4,238,54.92
zelnik6,median,parallel,4,238,64.23
zelnik1,single,parallel,4,299,27.47
zelnik1,complete,parallel,4,299,25.62
zelnik1,average,parallel,4,299,23.17
zelnik1,ward,parallel,4,299,75.44
zelnik1,centroid,parallel,4,299,79.87
zelnik1,median,parallel,4,299,78.55
3MC,single,parallel,4,400,43.67
3MC,complete,parallel,4,400,45.41
3MC,average,parallel,4,400,54.16
3MC,ward,parallel,4,400,250.56
3MC,centroid,parallel,4,400,251.61
3MC,median,parallel,4,400,239.75
target,single,parallel,4,770,265.87
target,complete,parallel,4,770,516.31
target,average,parallel,4,770,312.31
target,ward,parallel,4,770,1548.77
target,centroid,parallel,4,770,1572.50
target,median,parallel,4,770,1531.62
2spiral,single,parallel,4,1000,438.39
2spiral,complete,parallel,4,1000,397.10
2spiral,average,parallel,4,1000,412.09
2spiral,ward,parallel,4,1000,2582.23
2spiral,centroid,parallel,4,1000,2810.50
2spiral,median,parallel,4,1000,2727.91
smile2,single,parallel,4,1000,405.78
smile2,complete,parallel,4,1000,430.68
smile2,average,parallel,4,1000,425.12
smile2,ward,parallel,4,1000,2738.57
smile2,centroid,parallel,4,1000,3042.46
smile2,median,parallel,4,1000,2979.06
diamond9,single,parallel,4,3000,18285.23
diamond9,complete,parallel,4,3000,14765.99
diamond9,average,parallel,4,3000,15646.56
diamond9,ward,parallel,4,3000,61659.94
diamond9,centroid,parallel,4,3000,63915.05
diamond9,median,parallel,4,3000,62457.06
complex9,single,parallel,4,3031,19808.00
complex9,complete,parallel,4,3031,16313.05
complex9,average,parallel,4,3031,16586.24
complex9,ward,parallel,4,3031,64413.63
complex9,centroid,parallel,4,3031,67174.88
complex9,median,parallel,4,3031,65819.30
3MC,single,parallel,1,400,114.32
3MC,complete,parallel,1,400,103.78
3MC,average,parallel,1,400,89.15
3MC,ward,parallel,1,400,991.97
3MC,centroid,parallel,1,400,1046.48
3MC,median,parallel,1,400,1080.08
3MC,single,parallel,2,400,96.21
3MC,complete,parallel,2,400,75.44
3MC,average,parallel,2,400,89.31
3MC,ward,parallel,2,400,746.35
3MC,centroid,parallel,2,400,461.95
3MC,median,parallel,2,400,732.54
3MC,single,parallel,4,400,52.80
3MC,complete,parallel,4,400,39.31
3MC,average,parallel,4,400,38.05
3MC,ward,parallel,4,400,236.47
3MC,centroid,parallel,4,400,238.07
3MC,median,parallel,4,400,236.84
3MC,single,parallel,8,400,37.18
3MC,complete,parallel,8,400,35.81
3MC,average,parallel,8,400,38.73
3MC,ward,parallel,8,400,150.97
3MC,centroid,parallel,8,400,157.05
3MC,median,parallel,8,400,154.17
3MC,single,parallel,16,400,69.71
3MC,complete,parallel,16,400,72.90
3MC,average,parallel,16,400,69.90
3MC,ward,parallel,16,400,111.72
3MC,centroid,parallel,16,400,113.79
3MC,median,parallel,16,400,112.66
