cluster_i,cluster_j,distance,count
211,212,0.000531,2
45,50,0.000941,2
13,18,0.000982,2
52,59,0.001071,2
15,30,0.001166,2
123,124,0.001219,2
16,38,0.001276,2
202,203,0.001394,2
19,22,0.001652,2
138,142,0.001701,2
6,7,0.001728,2
0,1,0.001736,2
36,49,0.001960,2
76,78,0.002070,2
301,29,0.002169,3
9,14,0.002174,2
132,133,0.002253,2
102,105,0.002271,2
2,305,0.002373,3
134,135,0.002386,2
25,55,0.002413,2
61,62,0.002628,2
54,60,0.002652,2
303,27,0.002654,3
20,28,0.002825,2
53,56,0.002849,2
216,217,0.002860,2
5,319,0.003112,3
186,188,0.003174,2
44,46,0.003193,2
35,40,0.003306,2
65,66,0.003371,2
96,98,0.003447,2
144,145,0.003564,2
51,58,0.003600,2
99,100,0.003678,2
17,23,0.003710,2
95,97,0.003967,2
164,166,0.004127,2
88,91,0.004134,2
310,321,0.004134,4
89,90,0.004277,2
140,141,0.004528,2
83,85,0.004622,2
339,302,0.004663,6
117,118,0.004795,2
4,8,0.004984,2
107,110,0.005122,2
160,163,0.005171,2
201,298,0.005229,2
168,172,0.005346,2
120,121,0.005383,2
183,327,0.005431,3
136,198,0.005475,2
320,197,0.005520,3
108,109,0.005697,2
316,103,0.005881,3
125,127,0.005890,2
322,43,0.005946,4
75,79,0.006229,2
39,42,0.006322,2
72,73,0.006540,2
313,307,0.006590,5
170,174,0.006639,2
317,326,0.006725,6
3,21,0.006747,2
287,288,0.006753,2
219,220,0.006776,2
324,57,0.006902,3
32,33,0.006920,2
315,318,0.006953,4
177,179,0.006953,2
82,86,0.007093,2
153,157,0.007209,2
161,165,0.007224,2
126,131,0.007365,2
169,173,0.007420,2
237,238,0.007457,2
147,148,0.007542,2
176,178,0.007558,2
308,341,0.007597,4
250,252,0.007688,2
358,312,0.007698,4
334,101,0.007921,3
152,154,0.007972,2
300,47,0.008062,3
332,149,0.008159,3
68,70,0.008874,2
156,159,0.008977,2
11,335,0.008992,3
192,195,0.009006,2
364,26,0.009092,3
363,333,0.009137,8
330,67,0.009140,3
113,116,0.009316,2
264,265,0.009366,2
343,311,0.009525,8
209,210,0.009535,2
361,323,0.009717,7
77,81,0.010015,2
347,162,0.010121,3
190,191,0.010265,2
143,146,0.010381,2
309,10,0.010464,3
359,328,0.010623,4
346,111,0.010773,3
374,130,0.010978,3
180,181,0.010990,2
80,342,0.011067,3
338,340,0.011085,4
34,37,0.011357,2
71,360,0.011439,3
187,189,0.011607,2
377,150,0.012139,3
390,357,0.012208,7
230,231,0.012246,2
353,64,0.012319,4
329,41,0.012507,3
355,104,0.012539,4
314,388,0.012594,5
200,348,0.012622,3
271,272,0.012642,2
384,48,0.012778,4
370,182,0.013114,3
351,185,0.013219,4
259,260,0.013400,2
293,294,0.013540,2
331,382,0.013677,5
371,84,0.013788,3
24,368,0.013843,3
266,267,0.013973,2
362,175,0.014006,3
155,158,0.014785,2
226,227,0.014830,2
119,350,0.015100,3
285,286,0.015194,2
112,114,0.015198,2
381,398,0.015333,6
395,391,0.015432,16
402,12,0.015476,4
223,224,0.015499,2
93,94,0.015777,2
232,233,0.016554,2
194,196,0.016706,2
373,167,0.017026,3
380,251,0.017057,3
349,171,0.017464,3
289,290,0.017468,2
115,344,0.017694,3
405,128,0.017807,4
280,282,0.017936,2
151,383,0.018046,3
423,411,0.018276,6
407,427,0.018733,6
389,193,0.018944,3
392,69,0.019043,4
435,393,0.019143,4
409,416,0.019165,5
137,379,0.019559,5
443,337,0.019762,5
242,243,0.020051,2
404,354,0.020239,5
122,356,0.020260,3
345,367,0.020609,5
428,31,0.020776,4
261,262,0.020886,2
276,277,0.020950,2
228,229,0.021281,2
403,421,0.021621,8
417,106,0.021627,5
306,204,0.021858,3
413,397,0.021893,14
213,214,0.022175,2
235,236,0.022383,2
283,284,0.022512,2
207,208,0.022794,2
445,375,0.022898,5
256,257,0.023219,2
268,269,0.023435,2
215,325,0.023499,3
74,436,0.024049,7
422,406,0.024084,5
278,279,0.024125,2
431,387,0.024554,4
274,275,0.024663,2
415,352,0.024844,6
129,369,0.024890,5
296,297,0.025079,2
457,401,0.025102,7
385,412,0.025895,6
430,378,0.025910,5
139,199,0.026022,2
