cluster_i,cluster_j,distance,count
198,230,0.000216,2
65,67,0.000651,2
253,264,0.000699,2
123,152,0.000964,2
64,68,0.001123,2
251,257,0.001236,2
266,241,0.001253,3
211,239,0.001498,2
14,15,0.001534,2
126,191,0.001845,2
162,181,0.001996,2
143,169,0.001998,2
247,250,0.002052,2
278,249,0.002206,3
21,23,0.002320,2
167,170,0.002360,2
197,205,0.002659,2
137,176,0.002738,2
283,188,0.003106,3
89,90,0.003141,2
194,282,0.003174,3
193,256,0.003301,2
129,155,0.003474,2
138,164,0.003500,2
201,261,0.003534,2
214,243,0.003575,2
196,226,0.003690,2
274,16,0.003710,3
136,148,0.003736,2
122,125,0.003887,2
127,175,0.003952,2
30,32,0.004011,2
1,2,0.004061,2
221,248,0.004089,2
288,276,0.004127,4
11,13,0.004193,2
50,51,0.004237,2
92,93,0.004241,2
99,100,0.004317,2
146,159,0.004385,2
216,223,0.004452,2
289,165,0.004456,3
215,271,0.004527,3
142,192,0.004550,2
209,219,0.004631,2
286,244,0.004808,4
287,204,0.004860,3
86,285,0.004871,3
245,252,0.004883,2
118,145,0.004897,2
133,173,0.004920,2
73,75,0.004949,2
270,267,0.004962,4
124,284,0.005007,4
232,240,0.005113,2
57,58,0.005121,2
295,156,0.005213,3
212,218,0.005223,2
45,46,0.005288,2
318,69,0.005313,5
200,234,0.005449,2
74,78,0.005460,2
273,236,0.005479,3
199,262,0.005504,2
203,229,0.005526,2
300,316,0.005570,6
315,147,0.005576,3
292,222,0.005609,3
107,109,0.005630,2
54,321,0.005670,3
235,246,0.005717,2
120,139,0.005827,2
307,140,0.005849,4
224,255,0.005856,2
81,82,0.005907,2
291,259,0.005931,3
220,299,0.005951,3
333,310,0.005953,5
343,326,0.005973,7
116,117,0.006070,2
272,330,0.006070,5
97,101,0.006150,2
42,195,0.006228,2
149,182,0.006255,2
61,63,0.006305,2
298,3,0.006321,3
144,185,0.006400,2
228,238,0.006433,2
344,207,0.006477,8
342,339,0.006489,5
80,83,0.006545,2
38,40,0.006586,2
311,206,0.006628,5
355,231,0.006629,6
319,331,0.006711,10
134,141,0.006724,2
354,359,0.006764,14
337,153,0.006780,3
360,277,0.006810,12
325,66,0.006824,6
22,25,0.006867,2
202,336,0.006893,3
320,279,0.006908,5
135,168,0.006938,2
366,26,0.007055,3
363,131,0.007180,4
160,179,0.007190,2
112,114,0.007222,2
312,362,0.007250,17
308,258,0.007270,4
353,233,0.007277,3
106,108,0.007344,2
174,186,0.007374,2
76,77,0.007421,2
35,36,0.007541,2
290,323,0.007562,4
269,296,0.007609,4
358,227,0.007689,6
374,225,0.007793,18
34,37,0.007818,2
347,304,0.007825,4
368,254,0.007909,6
121,172,0.008018,2
329,237,0.008182,3
371,361,0.008199,6
161,187,0.008229,2
184,190,0.008253,2
275,349,0.008596,4
346,217,0.008618,6
364,393,0.008674,16
369,183,0.008696,3
389,328,0.008707,6
382,189,0.008896,5
20,24,0.008896,2
157,166,0.009011,2
115,345,0.009021,3
388,158,0.009065,3
338,180,0.009108,5
398,150,0.009123,6
404,281,0.009153,8
335,60,0.009163,4
383,260,0.009285,7
301,293,0.009288,5
119,395,0.009408,17
407,306,0.009509,9
384,268,0.009522,20
208,213,0.009561,2
352,177,0.009590,3
322,378,0.009593,5
348,387,0.009602,8
303,94,0.009630,3
390,309,0.009657,8
39,41,0.010021,2
410,381,0.010037,13
406,55,0.010075,5
8,10,0.010125,2
419,412,0.010154,15
357,418,0.010194,4
132,294,0.010195,3
424,396,0.010208,6
394,242,0.010338,7
59,62,0.010404,2
403,372,0.010468,7
327,379,0.010528,4
18,280,0.010560,3
47,48,0.010656,2
28,29,0.010688,2
415,210,0.010833,9
305,151,0.010842,3
385,380,0.010845,4
426,376,0.010895,10
414,130,0.010912,6
356,340,0.010916,4
422,375,0.010988,19
17,19,0.011058,2
430,399,0.011176,5
411,314,0.011236,22
417,405,0.011238,16
433,439,0.011289,28
332,400,0.011304,5
397,367,0.011324,9
442,436,0.011508,32
386,98,0.011545,5
44,431,0.011554,3
416,95,0.011627,4
70,71,0.011658,2
425,178,0.011687,7
443,428,0.011762,23
423,43,0.011767,5
449,324,0.011788,5
452,413,0.011937,10
427,350,0.011997,4
53,56,0.011999,2
402,434,0.012037,6
408,12,0.012117,6
409,453,0.012221,40
111,113,0.012330,2
445,437,0.012445,11
27,432,0.012485,3
461,128,0.012618,41
444,447,0.012828,60
456,171,0.012927,11
467,163,0.012986,12
459,468,0.013149,18
33,435,0.013152,5
