cluster_i,cluster_j,distance,count
20,47,0.000210,2
41,42,0.000661,2
7,50,0.000860,2
61,65,0.000885,2
238,28,0.000909,3
2,11,0.000912,2
67,88,0.001045,2
32,146,0.001161,2
155,164,0.001288,2
36,161,0.001341,2
23,52,0.001349,2
64,135,0.001365,2
24,38,0.001472,2
82,109,0.001549,2
92,122,0.001616,2
10,178,0.001681,2
55,181,0.001750,2
8,179,0.001763,2
117,118,0.001825,2
80,110,0.001887,2
99,126,0.001928,2
115,136,0.001993,2
140,169,0.002025,2
242,35,0.002093,4
243,165,0.002137,3
85,137,0.002331,2
1,154,0.002450,2
96,128,0.002527,2
71,94,0.002557,2
60,124,0.002703,2
9,25,0.002761,2
119,121,0.002884,2
18,44,0.002922,2
257,100,0.002931,3
245,157,0.002990,3
51,180,0.003019,2
173,174,0.003158,2
75,256,0.003239,3
46,163,0.003393,2
15,177,0.003456,2
253,149,0.003460,3
95,131,0.003461,2
91,120,0.003606,2
254,260,0.003645,4
84,125,0.003705,2
83,106,0.003745,2
265,134,0.003760,3
17,247,0.003773,3
74,104,0.003805,2
98,107,0.003838,2
14,274,0.003843,3
22,48,0.003887,2
59,249,0.003895,3
153,160,0.003968,2
77,90,0.003993,2
21,170,0.004145,2
144,148,0.004157,2
284,259,0.004195,5
248,162,0.004216,3
43,168,0.004304,2
70,101,0.004340,2
289,147,0.004360,3
89,111,0.004439,2
270,142,0.004593,3
66,279,0.004602,3
194,195,0.004655,2
5,151,0.004685,2
108,127,0.004864,2
102,130,0.004924,2
261,145,0.004961,5
81,269,0.005022,3
240,176,0.005124,3
53,159,0.005263,2
40,45,0.005350,2
278,37,0.005364,4
78,114,0.005430,2
16,175,0.005738,2
294,171,0.005738,3
69,251,0.005773,3
263,105,0.005858,3
267,282,0.005939,4
57,300,0.005991,3
262,138,0.006032,4
58,258,0.006203,3
62,286,0.006249,3
12,281,0.006269,5
298,308,0.006394,5
29,39,0.006480,2
143,158,0.006489,2
19,293,0.006490,3
296,156,0.006664,4
26,166,0.007062,2
255,54,0.007087,3
241,116,0.007135,3
280,97,0.007152,3
86,113,0.007179,2
56,283,0.007209,3
6,172,0.007219,2
93,133,0.007377,2
30,139,0.007400,2
87,295,0.007470,6
266,72,0.007493,3
329,291,0.007676,4
68,324,0.007784,6
290,244,0.007879,5
321,79,0.007918,4
264,31,0.007949,3
13,297,0.008046,3
268,288,0.008196,5
4,309,0.008228,4
273,152,0.008245,3
3,311,0.008303,3
275,306,0.008395,5
230,231,0.008498,2
320,335,0.008630,6
63,350,0.008836,6
0,315,0.008873,4
333,112,0.009080,3
123,129,0.009256,2
299,337,0.009389,5
339,132,0.009408,4
239,167,0.009482,3
141,246,0.009840,3
250,272,0.009887,5
302,341,0.009950,9
318,336,0.009962,6
332,252,0.010292,5
313,338,0.010414,8
27,310,0.010471,3
331,322,0.010577,6
316,271,0.010712,6
346,328,0.010739,9
344,325,0.010968,5
277,357,0.011019,7
354,34,0.011265,5
327,307,0.011461,8
197,198,0.011580,2
334,317,0.011925,6
361,276,0.012060,7
319,103,0.012174,4
312,49,0.012403,5
342,353,0.012830,11
349,378,0.013050,8
352,33,0.013243,7
369,359,0.013434,12
345,373,0.013854,11
305,356,0.014093,4
367,292,0.014275,8
323,371,0.014307,12
340,360,0.014690,7
370,330,0.014899,8
363,73,0.014905,7
343,389,0.015378,11
366,326,0.015399,5
347,304,0.015939,6
362,355,0.016040,12
381,301,0.016736,10
372,348,0.016782,8
205,206,0.016852,2
219,220,0.017115,2
76,287,0.017207,3
368,384,0.017533,10
182,237,0.017948,2
385,358,0.018131,12
395,376,0.018208,15
392,382,0.019593,18
380,391,0.019897,13
375,399,0.020033,16
377,365,0.020350,12
314,150,0.021079,3
213,214,0.021376,2
383,387,0.022425,18
202,203,0.022794,2
379,364,0.022839,16
186,187,0.023269,2
199,200,0.024671,2
393,398,0.025223,15
402,394,0.025225,25
404,386,0.025769,25
210,211,0.026367,2
390,401,0.026984,23
415,285,0.027045,28
409,407,0.027113,21
233,234,0.027755,2
208,209,0.028231,2
191,192,0.030246,2
411,414,0.030968,31
216,217,0.032300,2
388,420,0.032510,29
225,226,0.032881,2
184,185,0.033073,2
188,189,0.033901,2
397,221,0.035584,3
400,236,0.035638,3
405,406,0.037987,28
227,228,0.039481,2
416,403,0.040136,43
223,224,0.041009,2
419,426,0.045047,57
408,215,0.047082,3
204,396,0.047306,3
417,212,0.047355,3
432,424,0.047751,59
229,351,0.047920,3
425,218,0.048829,3
431,183,0.049110,4
190,423,0.050944,3
440,418,0.051204,82
193,303,0.052853,3
436,434,0.053010,100
413,201,0.054681,3
421,235,0.054950,3
207,422,0.059193,3
430,222,0.059773,4
428,412,0.061085,4
196,374,0.068408,3
435,427,0.068469,4
441,232,0.069548,4
429,444,0.078539,5
448,410,0.091907,5
445,446,0.097044,85
458,453,0.098916,88
454,433,0.103856,6
439,437,0.105322,6
443,449,0.112851,7
438,450,0.117791,6
442,451,0.127049,7
447,460,0.131233,106
452,456,0.167511,9
465,464,0.180185,113
462,455,0.181371,11
459,457,0.194207,93
463,461,0.210759,12
469,466,0.260178,102
467,468,0.310559,124
472,470,0.418870,136
473,471,0.479050,238
