cluster_i,cluster_j,distance,count
20,47,0.000210,2
41,42,0.000661,2
7,50,0.000860,2
61,65,0.000885,2
238,28,0.000904,3
2,11,0.000912,2
67,88,0.001045,2
32,146,0.001161,2
155,164,0.001288,2
36,161,0.001341,2
23,52,0.001349,2
64,135,0.001365,2
24,38,0.001472,2
82,109,0.001549,2
92,122,0.001616,2
10,178,0.001681,2
55,181,0.001750,2
8,179,0.001763,2
117,118,0.001825,2
80,110,0.001887,2
99,126,0.001928,2
115,136,0.001993,2
140,169,0.002025,2
242,35,0.002079,4
243,165,0.002133,3
85,137,0.002331,2
1,154,0.002450,2
96,128,0.002527,2
71,94,0.002557,2
60,124,0.002703,2
9,25,0.002761,2
257,100,0.002847,3
119,121,0.002884,2
18,44,0.002922,2
245,157,0.002989,3
51,180,0.003019,2
173,174,0.003158,2
75,256,0.003223,3
46,163,0.003393,2
253,149,0.003415,3
15,177,0.003456,2
95,131,0.003461,2
14,274,0.003510,3
254,260,0.003519,4
91,120,0.003606,2
265,134,0.003627,3
283,259,0.003655,5
84,125,0.003705,2
17,247,0.003719,3
83,106,0.003745,2
74,104,0.003805,2
98,107,0.003838,2
59,249,0.003857,3
22,48,0.003887,2
291,147,0.003921,3
153,160,0.003968,2
77,90,0.003993,2
21,170,0.004145,2
144,148,0.004157,2
248,162,0.004216,3
43,168,0.004304,2
66,279,0.004330,3
70,101,0.004340,2
271,142,0.004388,3
89,111,0.004439,2
194,195,0.004655,2
5,151,0.004685,2
81,270,0.004812,3
108,127,0.004864,2
102,130,0.004924,2
261,145,0.004939,5
277,37,0.005104,4
240,176,0.005107,3
53,159,0.005263,2
40,45,0.005350,2
78,114,0.005430,2
296,171,0.005465,3
300,305,0.005600,5
57,302,0.005610,3
267,285,0.005643,4
69,251,0.005721,3
16,175,0.005738,2
263,105,0.005858,3
262,138,0.006024,4
62,288,0.006087,3
58,258,0.006135,3
12,281,0.006187,5
19,295,0.006437,3
29,39,0.006480,2
143,158,0.006489,2
297,156,0.006576,4
282,97,0.006970,3
56,287,0.007013,3
26,166,0.007062,2
331,293,0.006753,4
255,54,0.007085,3
241,116,0.007134,3
86,113,0.007179,2
68,315,0.007194,6
6,172,0.007219,2
87,284,0.007269,6
93,133,0.007377,2
323,79,0.007387,4
30,139,0.007400,2
266,72,0.007469,3
290,244,0.007648,5
321,337,0.007779,6
13,298,0.007803,3
264,31,0.007859,3
268,328,0.007911,6
4,310,0.007922,4
3,312,0.007988,3
275,307,0.008173,5
63,350,0.007767,6
273,152,0.008242,3
230,231,0.008498,2
335,112,0.008550,3
292,341,0.008550,5
0,314,0.008639,4
342,132,0.008722,4
317,339,0.009008,6
299,336,0.009065,9
123,129,0.009256,2
356,250,0.009276,6
239,167,0.009476,3
329,252,0.009786,5
141,246,0.009839,3
334,322,0.009902,6
313,338,0.009935,8
278,355,0.010075,7
346,326,0.010123,5
27,311,0.010296,3
318,269,0.010339,6
347,280,0.010351,9
325,308,0.011177,8
197,198,0.011580,2
330,320,0.011596,6
371,362,0.011864,12
349,309,0.011879,7
343,351,0.011966,11
272,276,0.011977,5
316,103,0.011998,4
376,49,0.012025,8
345,372,0.012199,11
344,33,0.012506,7
365,294,0.013181,8
324,367,0.013246,12
361,352,0.013329,9
332,364,0.013486,7
306,360,0.013767,4
380,369,0.014007,11
358,73,0.014216,7
340,389,0.013969,11
368,333,0.014395,8
286,34,0.014431,4
385,378,0.014903,14
359,354,0.015069,12
370,387,0.015312,10
348,304,0.015455,6
382,301,0.016062,10
383,357,0.016401,12
205,206,0.016852,2
219,220,0.017115,2
396,375,0.017186,18
76,289,0.017206,3
374,395,0.017356,16
391,327,0.017772,10
182,237,0.017948,2
379,366,0.019301,12
381,386,0.020554,18
407,150,0.020577,19
213,214,0.021376,2
393,397,0.022116,24
377,363,0.022367,16
202,203,0.022794,2
410,392,0.022980,28
388,384,0.023043,23
394,402,0.023226,15
186,187,0.023269,2
199,200,0.024671,2
390,398,0.025174,23
210,211,0.026367,2
408,319,0.026885,21
411,415,0.027119,31
233,234,0.027755,2
208,209,0.028231,2
191,192,0.030246,2
404,420,0.030309,31
216,217,0.032300,2
225,226,0.032881,2
184,185,0.033073,2
188,189,0.033901,2
405,236,0.034615,3
400,221,0.035074,3
403,421,0.035459,47
414,401,0.036706,41
406,418,0.039304,35
227,228,0.039481,2
413,425,0.040548,59
223,224,0.041009,2
436,433,0.043307,100
432,434,0.043902,82
409,215,0.046331,3
419,212,0.046860,3
430,183,0.047159,4
204,399,0.047256,3
229,353,0.047884,3
426,218,0.048385,3
190,424,0.049018,3
193,303,0.052850,3
422,235,0.054610,3
417,201,0.054640,3
207,423,0.059101,3
431,222,0.059113,4
428,416,0.060584,4
437,427,0.067421,4
196,373,0.068339,3
444,232,0.069371,4
429,446,0.076545,5
439,454,0.090458,85
457,447,0.091164,88
449,412,0.091192,5
453,435,0.103182,6
450,441,0.104483,6
442,448,0.112037,7
438,460,0.116145,106
440,445,0.119432,6
463,451,0.137128,110
459,443,0.145363,8
452,456,0.166668,9
462,455,0.179166,11
461,464,0.209888,12
458,466,0.226531,96
470,467,0.258621,105
465,468,0.293548,121
472,469,0.342942,133
473,471,0.452105,238
