cluster_i,cluster_j,distance,count
20,47,0.000148,2
41,42,0.000468,2
7,50,0.000608,2
61,65,0.000626,2
2,11,0.000645,2
238,28,0.000738,3
67,88,0.000739,2
32,146,0.000821,2
155,164,0.000911,2
36,161,0.000948,2
23,52,0.000954,2
64,135,0.000965,2
24,38,0.001041,2
82,109,0.001095,2
92,122,0.001143,2
10,178,0.001189,2
55,181,0.001238,2
8,179,0.001247,2
117,118,0.001290,2
80,110,0.001334,2
99,126,0.001363,2
115,136,0.001410,2
140,169,0.001432,2
85,137,0.001648,2
1,154,0.001733,2
242,165,0.001742,3
96,128,0.001787,2
243,35,0.001800,4
71,94,0.001808,2
60,124,0.001911,2
9,25,0.001952,2
119,121,0.002039,2
18,44,0.002066,2
51,180,0.002135,2
173,174,0.002233,2
257,100,0.002324,3
46,163,0.002400,2
245,157,0.002441,3
15,177,0.002443,2
95,131,0.002447,2
91,120,0.002550,2
84,125,0.002620,2
75,256,0.002632,3
83,106,0.002648,2
74,104,0.002691,2
98,107,0.002714,2
22,48,0.002749,2
253,149,0.002789,3
153,160,0.002806,2
77,90,0.002824,2
14,272,0.002866,3
21,170,0.002931,2
144,148,0.002940,2
264,134,0.002961,3
156,162,0.003029,2
17,247,0.003037,3
43,168,0.003044,2
70,101,0.003069,2
89,111,0.003139,2
59,249,0.003149,3
284,147,0.003201,3
194,195,0.003292,2
5,151,0.003313,2
108,127,0.003439,2
102,130,0.003482,2
254,260,0.003519,4
66,277,0.003535,3
270,142,0.003583,3
53,159,0.003722,2
40,45,0.003783,2
78,114,0.003840,2
81,269,0.003929,3
291,259,0.004004,5
16,175,0.004057,2
240,176,0.004170,3
265,145,0.004418,5
285,37,0.004420,4
290,171,0.004462,3
57,296,0.004581,3
29,39,0.004582,2
143,158,0.004589,2
69,251,0.004671,3
261,105,0.004783,3
58,79,0.004785,2
62,282,0.004970,3
26,166,0.004993,2
86,113,0.005076,2
6,172,0.005105,2
279,93,0.005133,3
263,138,0.005217,4
30,139,0.005233,2
19,289,0.005256,3
12,303,0.005534,5
278,97,0.005691,3
73,116,0.005693,2
56,281,0.005726,3
255,54,0.005785,3
248,292,0.005926,4
230,231,0.006009,2
68,309,0.006019,4
266,72,0.006099,3
295,112,0.006274,3
13,294,0.006372,3
262,31,0.006417,3
3,307,0.006522,3
123,129,0.006545,2
321,258,0.006567,4
87,310,0.006636,6
271,152,0.006729,3
323,286,0.006753,4
4,312,0.006861,4
326,133,0.007103,4
297,63,0.007128,4
0,315,0.007481,4
338,132,0.007553,4
239,167,0.007737,3
141,246,0.008033,3
197,198,0.008189,2
27,306,0.008407,3
350,244,0.008802,6
304,339,0.008819,6
268,288,0.008827,5
280,302,0.008953,5
327,325,0.008982,6
317,150,0.009031,3
298,328,0.009366,5
351,34,0.009400,5
267,349,0.009511,6
308,103,0.010175,3
241,332,0.010597,4
331,252,0.010720,5
250,275,0.010807,5
314,49,0.010965,5
361,33,0.011578,7
205,206,0.011916,2
276,363,0.012041,7
219,220,0.012102,2
273,301,0.012294,5
182,237,0.012691,2
358,76,0.012801,7
333,319,0.012983,6
369,274,0.012998,7
287,324,0.013039,4
341,334,0.013330,6
367,322,0.013849,7
316,366,0.014554,6
342,356,0.014713,6
359,335,0.014826,9
340,311,0.015043,5
213,214,0.015115,2
329,313,0.015305,8
202,203,0.016118,2
377,337,0.016267,11
186,187,0.016453,2
300,330,0.016712,7
199,200,0.017445,2
347,354,0.017657,7
320,343,0.017692,5
385,353,0.017796,12
344,283,0.017810,6
210,211,0.018644,2
357,360,0.019563,11
233,234,0.019626,2
384,318,0.019740,8
208,209,0.019962,2
191,192,0.021387,2
305,388,0.021520,11
364,346,0.021528,8
216,217,0.022839,2
225,226,0.023250,2
184,185,0.023386,2
188,189,0.023972,2
378,395,0.024597,11
381,362,0.025881,9
227,228,0.027918,2
221,222,0.028080,2
376,236,0.028263,3
392,373,0.028857,14
223,224,0.028998,2
405,379,0.029734,15
401,370,0.029783,13
382,352,0.029804,11
397,365,0.030259,12
383,345,0.030562,12
371,293,0.030935,10
410,375,0.031719,16
419,380,0.032397,15
348,396,0.034022,16
387,215,0.037829,3
404,394,0.038097,18
398,212,0.038261,3
390,368,0.038543,16
204,372,0.038584,3
229,336,0.039097,3
406,218,0.039506,3
190,403,0.040023,3
414,183,0.040841,4
193,299,0.043152,3
400,235,0.044589,3
393,201,0.044613,3
386,427,0.046617,23
207,402,0.048256,3
399,196,0.050816,12
374,413,0.051501,4
417,422,0.053257,25
431,232,0.060077,4
408,391,0.060584,4
421,420,0.060937,24
418,415,0.062697,27
416,407,0.067421,4
440,429,0.073083,28
411,438,0.075782,32
409,433,0.083851,5
423,355,0.097199,18
437,389,0.099896,5
448,435,0.107859,31
445,424,0.114052,39
446,425,0.117891,43
447,412,0.119144,6
439,428,0.127964,6
426,432,0.146273,6
434,436,0.146691,7
442,449,0.152629,57
451,453,0.154795,49
452,430,0.199046,8
460,455,0.212853,100
461,454,0.233961,88
444,450,0.248454,9
463,441,0.268635,104
456,443,0.276706,10
457,458,0.363537,12
466,467,0.430091,114
459,465,0.508985,16
464,462,0.613450,96
469,468,1.090017,126
471,470,1.218748,112
472,473,3.413758,238
