cluster_i,cluster_j,distance,count
142,269,0.010440,2
312,333,0.015264,2
359,399,0.019026,2
298,329,0.022204,2
366,383,0.023000,2
2,111,0.024515,2
291,367,0.024597,2
231,266,0.025020,2
16,63,0.025060,2
332,358,0.025632,2
313,341,0.026926,2
203,235,0.028018,2
31,43,0.031765,2
322,349,0.033734,2
330,371,0.034000,2
130,195,0.035609,2
378,392,0.037202,2
34,91,0.037643,2
15,42,0.038626,2
307,395,0.038639,2
296,324,0.039115,2
295,320,0.041231,2
317,325,0.046043,2
402,362,0.046065,3
290,410,0.046648,3
293,346,0.048010,2
301,345,0.049041,2
11,28,0.049649,2
304,361,0.050488,2
159,172,0.051264,2
309,373,0.051865,2
239,271,0.055902,2
379,385,0.057245,2
89,116,0.059076,2
306,340,0.061000,2
38,46,0.061400,2
201,242,0.061660,2
66,108,0.061685,2
310,337,0.062298,2
318,384,0.063600,2
294,377,0.063891,2
424,390,0.064140,4
205,262,0.065008,2
360,394,0.067067,2
403,387,0.067119,3
302,347,0.068680,2
350,416,0.069426,3
238,288,0.071197,2
200,280,0.071561,2
74,77,0.072560,2
41,85,0.072670,2
175,192,0.072719,2
401,397,0.072918,3
144,161,0.073007,2
331,393,0.073062,2
339,375,0.073389,2
72,99,0.073546,2
133,157,0.074525,2
166,198,0.074673,2
169,219,0.076158,2
421,334,0.076322,3
173,196,0.077162,2
26,92,0.077414,2
308,356,0.079057,2
434,352,0.079706,3
152,186,0.080505,2
212,281,0.083217,2
162,202,0.084433,2
52,71,0.085381,2
256,283,0.085796,2
103,114,0.086209,2
305,414,0.087801,3
297,426,0.089554,3
180,194,0.091706,2
131,176,0.092022,2
315,382,0.094847,2
299,389,0.095037,2
102,113,0.095441,2
400,217,0.097015,3
127,240,0.097082,2
45,115,0.098087,2
405,82,0.098600,3
409,342,0.099479,3
270,275,0.099930,2
425,391,0.100424,3
404,398,0.101079,3
155,255,0.102786,2
35,95,0.103160,2
430,380,0.103942,3
247,260,0.104389,2
328,374,0.105224,2
87,112,0.108904,2
14,18,0.109041,2
222,232,0.110023,2
37,65,0.110309,2
36,83,0.111158,2
338,381,0.114004,2
454,396,0.115953,3
439,369,0.116362,3
282,287,0.118966,2
13,118,0.119503,2
58,94,0.119854,2
223,265,0.120801,2
0,119,0.121037,2
9,468,0.121807,3
1,88,0.122102,2
129,258,0.122102,2
363,485,0.122115,4
10,107,0.125160,2
327,446,0.126574,4
55,80,0.126696,2
122,188,0.128082,2
444,413,0.128226,5
135,215,0.128798,2
251,278,0.128888,2
40,61,0.129468,2
488,354,0.130545,4
422,372,0.130736,3
143,253,0.136854,2
445,355,0.136894,3
140,174,0.137317,2
503,44,0.137768,3
303,482,0.139086,4
128,436,0.140000,3
50,62,0.143056,2
472,357,0.144312,4
134,181,0.144420,2
8,24,0.145962,2
33,93,0.146455,2
336,364,0.146769,2
437,69,0.147231,3
125,191,0.147513,2
29,81,0.149402,2
147,459,0.149405,3
376,432,0.150266,3
498,351,0.153118,4
441,365,0.154029,5
420,438,0.154777,4
527,90,0.155631,3
182,249,0.159110,2
311,353,0.161892,2
47,110,0.162262,2
5,104,0.163086,2
475,443,0.164712,4
519,335,0.165109,4
123,151,0.165245,2
406,323,0.165424,3
167,189,0.165560,2
495,98,0.166481,3
453,229,0.167869,3
448,230,0.169248,3
418,109,0.169850,3
419,321,0.171143,3
440,348,0.171814,3
4,433,0.172887,3
199,274,0.173003,2
214,248,0.173303,2
460,463,0.174797,5
138,244,0.176465,2
19,64,0.182025,2
170,206,0.183439,2
523,146,0.185930,4
53,96,0.187830,2
478,178,0.188939,4
193,245,0.190709,2
57,76,0.191010,2
411,254,0.193259,3
6,78,0.198658,2
149,221,0.202277,2
145,158,0.203217,2
484,386,0.203747,4
491,106,0.205022,3
370,534,0.206015,4
153,263,0.211426,2
132,486,0.212850,3
276,286,0.213122,2
476,314,0.214394,3
124,233,0.214394,2
209,447,0.218021,3
489,252,0.218037,3
427,25,0.218689,3
319,507,0.220000,5
