cluster_i,cluster_j,distance,count
142,269,0.010440,2
312,333,0.015264,2
359,399,0.019026,2
298,329,0.022204,2
366,383,0.023000,2
2,111,0.024515,2
291,367,0.024597,2
231,266,0.025020,2
16,63,0.025060,2
332,358,0.025632,2
313,341,0.026926,2
203,235,0.028018,2
402,362,0.031113,3
31,43,0.031765,2
322,349,0.033734,2
330,371,0.034000,2
130,195,0.035609,2
290,410,0.037162,3
378,392,0.037202,2
34,91,0.037643,2
15,42,0.038626,2
307,395,0.038639,2
296,324,0.039115,2
295,320,0.041231,2
403,387,0.045011,3
417,390,0.045706,4
317,325,0.046043,2
293,346,0.048010,2
350,418,0.048703,3
301,345,0.049041,2
11,28,0.049649,2
304,361,0.050488,2
159,172,0.051264,2
309,373,0.051865,2
433,380,0.053907,3
427,391,0.055009,3
239,271,0.055902,2
379,385,0.057245,2
423,356,0.059000,3
89,116,0.059076,2
401,397,0.060729,3
306,340,0.061000,2
38,46,0.061400,2
201,242,0.061660,2
66,108,0.061685,2
310,337,0.062298,2
438,334,0.063411,4
318,384,0.063600,2
294,377,0.063891,2
424,414,0.064195,5
205,262,0.065008,2
360,394,0.067067,2
415,409,0.067676,4
302,347,0.068680,2
238,288,0.071197,2
200,280,0.071561,2
429,393,0.072035,3
74,77,0.072560,2
41,85,0.072670,2
175,192,0.072719,2
144,161,0.073007,2
456,331,0.073062,4
339,375,0.073389,2
72,99,0.073546,2
452,342,0.074330,5
133,157,0.074525,2
166,198,0.074673,2
169,219,0.076158,2
405,82,0.077078,3
173,196,0.077162,2
26,92,0.077414,2
441,352,0.078549,3
446,308,0.079057,5
297,461,0.080156,5
447,351,0.080281,3
152,186,0.080505,2
404,398,0.080994,3
327,428,0.082928,4
212,281,0.083217,2
162,202,0.084433,2
52,71,0.085381,2
256,283,0.085796,2
305,464,0.085843,6
103,114,0.086209,2
471,445,0.087207,5
400,217,0.088233,3
128,443,0.090697,3
449,412,0.090796,8
425,365,0.091241,5
180,194,0.091706,2
485,178,0.091924,4
131,176,0.092022,2
473,396,0.094366,6
426,372,0.094763,3
315,382,0.094847,2
299,389,0.095037,2
102,113,0.095441,2
127,240,0.097082,2
434,354,0.097673,4
45,115,0.098087,2
455,230,0.099156,3
495,476,0.099810,5
270,275,0.099930,2
155,255,0.102786,2
35,95,0.103160,2
501,363,0.103233,6
435,386,0.103325,4
494,451,0.104000,4
247,260,0.104389,2
492,357,0.104809,7
328,374,0.105224,2
453,355,0.105304,3
493,477,0.106452,7
474,369,0.106944,4
511,335,0.107187,4
506,512,0.108467,11
87,112,0.108904,2
444,69,0.108931,3
14,18,0.109041,2
490,459,0.109202,6
503,188,0.109252,3
222,232,0.110023,2
376,437,0.110059,3
37,65,0.110309,2
36,83,0.111158,2
338,381,0.114004,2
430,457,0.114140,4
524,98,0.114158,3
9,480,0.115434,3
4,439,0.115948,3
282,287,0.118966,2
514,316,0.119206,5
303,482,0.119218,7
13,118,0.119503,2
58,94,0.119854,2
223,265,0.120801,2
0,119,0.121037,2
528,81,0.121037,4
1,88,0.122102,2
129,258,0.122102,2
475,436,0.123037,4
10,107,0.125160,2
422,484,0.125925,7
55,80,0.126696,2
472,510,0.128062,7
122,520,0.128082,4
135,215,0.128798,2
251,278,0.128888,2
40,61,0.129468,2
300,498,0.130096,5
536,44,0.131947,3
505,319,0.132484,7
541,70,0.133360,3
460,229,0.134826,3
143,253,0.136854,2
140,174,0.137317,2
448,348,0.137441,3
8,533,0.139786,3
421,321,0.140602,3
532,368,0.140698,8
559,323,0.142555,9
507,388,0.142636,5
486,146,0.142843,4
50,62,0.143056,2
513,343,0.143600,5
147,467,0.143951,3
134,181,0.144420,2
554,248,0.145066,3
557,24,0.145962,4
33,93,0.146455,2
516,106,0.146485,3
336,364,0.146769,2
125,191,0.147513,2
568,90,0.147763,5
545,132,0.147763,5
537,29,0.149402,5
491,226,0.151238,3
555,246,0.154467,3
370,522,0.157385,4
549,560,0.157892,14
571,578,0.158937,6
182,249,0.159110,2
