cluster_i,cluster_j,distance,count
142,269,0.007382,2
312,333,0.010794,2
359,399,0.013454,2
298,329,0.015700,2
366,383,0.016263,2
2,111,0.017335,2
291,367,0.017393,2
231,266,0.017692,2
16,63,0.017720,2
332,358,0.018125,2
313,341,0.019039,2
203,235,0.019812,2
31,43,0.022461,2
322,349,0.023854,2
330,371,0.024042,2
130,195,0.025179,2
378,392,0.026306,2
34,91,0.026618,2
15,42,0.027313,2
307,395,0.027322,2
296,324,0.027659,2
295,320,0.029155,2
402,362,0.031139,3
317,325,0.032558,2
290,410,0.032632,3
293,346,0.033948,2
301,345,0.034677,2
11,28,0.035107,2
304,361,0.035700,2
159,172,0.036249,2
309,373,0.036674,2
239,271,0.039528,2
379,385,0.040478,2
89,116,0.041773,2
306,340,0.043134,2
424,390,0.043361,4
38,46,0.043417,2
201,242,0.043600,2
66,108,0.043618,2
310,337,0.044051,2
318,384,0.044972,2
294,377,0.045177,2
403,387,0.045769,3
205,262,0.045967,2
350,416,0.046547,3
360,394,0.047424,2
302,347,0.048564,2
238,288,0.050344,2
200,280,0.050601,2
74,77,0.051308,2
41,85,0.051386,2
175,192,0.051420,2
144,161,0.051624,2
331,393,0.051662,2
339,375,0.051894,2
72,99,0.052005,2
133,157,0.052697,2
166,198,0.052802,2
169,219,0.053852,2
401,397,0.054432,3
173,196,0.054562,2
26,92,0.054740,2
421,334,0.054760,3
308,356,0.055902,2
152,186,0.056925,2
212,281,0.058843,2
434,352,0.059617,3
162,202,0.059703,2
52,71,0.060374,2
256,283,0.060667,2
103,114,0.060959,2
425,391,0.063136,3
430,380,0.064200,3
180,194,0.064846,2
131,176,0.065069,2
297,426,0.066439,3
315,382,0.067067,2
299,389,0.067201,2
102,113,0.067487,2
127,240,0.068648,2
45,115,0.069358,2
305,414,0.069522,3
270,275,0.070661,2
409,342,0.070928,3
405,82,0.071560,3
155,255,0.072681,2
35,95,0.072945,2
247,260,0.073814,2
404,398,0.074190,3
328,374,0.074404,2
400,217,0.075592,3
87,112,0.077006,2
14,18,0.077104,2
222,232,0.077798,2
37,65,0.078000,2
36,83,0.078600,2
338,381,0.080613,2
453,396,0.080996,3
282,287,0.084122,2
13,118,0.084501,2
58,94,0.084750,2
223,265,0.085420,2
0,119,0.085586,2
1,88,0.086339,2
129,258,0.086339,2
440,369,0.087473,3
10,107,0.088501,2
363,488,0.088929,4
55,80,0.089588,2
472,354,0.089829,4
9,468,0.090401,3
122,188,0.090568,2
135,215,0.091074,2
251,278,0.091137,2
423,372,0.091309,3
40,61,0.091548,2
128,437,0.092961,3
327,444,0.094510,4
446,355,0.095691,3
143,253,0.096770,2
140,174,0.097098,2
502,44,0.098429,3
303,368,0.099489,2
475,357,0.099804,4
442,413,0.099908,5
505,351,0.100772,4
50,62,0.101156,2
134,181,0.102120,2
438,69,0.102698,3
8,24,0.103211,2
33,93,0.103559,2
336,364,0.103781,2
435,365,0.104271,5
125,191,0.104307,2
376,432,0.104967,3
29,81,0.105643,2
495,98,0.107347,3
529,90,0.108632,3
448,230,0.109417,3
490,178,0.110205,4
182,249,0.112508,2
476,445,0.112510,4
311,353,0.114475,2
47,110,0.114737,2
5,104,0.115319,2
518,335,0.115645,4
147,458,0.115678,3
123,151,0.116846,2
167,189,0.117068,2
4,433,0.117741,3
452,229,0.120683,3
199,274,0.122332,2
214,248,0.122544,2
481,483,0.123267,6
441,348,0.124324,3
138,244,0.124780,2
419,321,0.126902,3
19,64,0.128711,2
170,206,0.129711,2
462,463,0.131728,5
53,96,0.132816,2
406,323,0.133120,3
471,386,0.134026,4
420,439,0.134076,4
193,245,0.134852,2
57,76,0.135065,2
418,109,0.136064,3
491,106,0.138518,3
516,146,0.139787,4
6,78,0.140472,2
149,221,0.143031,2
132,485,0.143593,3
145,158,0.143696,2
319,507,0.148095,5
411,254,0.148921,3
153,263,0.149501,2
276,286,0.150700,2
370,534,0.151565,4
124,233,0.151600,2
477,314,0.151932,3
209,447,0.153600,3
474,226,0.155199,3
49,455,0.156538,3
541,388,0.156662,5
506,70,0.157195,3
121,279,0.159000,2
187,268,0.159726,2
164,165,0.159806,2
12,75,0.160003,2
300,509,0.160162,5
496,343,0.160886,3
139,210,0.161203,2
460,243,0.162990,3
535,48,0.163108,3
545,316,0.164334,5
520,246,0.165445,3
427,25,0.167571,3
487,252,0.172148,3
207,284,0.174642,2
523,497,0.174925,7
179,185,0.176105,2
22,30,0.179618,2
27,39,0.181517,2
464,431,0.183860,4
504,272,0.184711,3
584,59,0.184941,4
467,513,0.187841,4
524,344,0.187866,6
596,449,0.188101,5
126,267,0.189320,2
569,23,0.189380,3
56,68,0.189506,2
225,259,0.189932,2
100,101,0.191128,2
581,163,0.195920,4
84,97,0.196317,2
514,517,0.198655,7
213,501,0.202506,3
494,543,0.205291,4
557,526,0.212421,4
536,73,0.214475,4
503,51,0.217587,3
220,277,0.219869,2
539,451,0.221995,6
417,515,0.224094,4
443,211,0.224913,3
21,86,0.228128,2
559,489,0.229784,7
560,117,0.235470,3
7,615,0.236082,3
595,208,0.236667,4
465,289,0.237002,3
156,592,0.237344,4
326,454,0.239375,3
154,482,0.240874,3
32,436,0.242298,3
