cluster_i,cluster_j,distance,count
198,230,0.000216,2
65,67,0.000651,2
253,264,0.000699,2
123,152,0.000964,2
64,68,0.001123,2
251,257,0.001236,2
266,241,0.001355,3
211,239,0.001498,2
14,15,0.001534,2
126,191,0.001845,2
162,181,0.001996,2
143,169,0.001998,2
247,250,0.002052,2
21,23,0.002320,2
167,170,0.002360,2
197,205,0.002659,2
137,176,0.002738,2
194,281,0.002956,3
89,90,0.003141,2
278,249,0.003156,3
193,256,0.003301,2
129,155,0.003474,2
138,164,0.003500,2
201,261,0.003534,2
214,243,0.003575,2
196,226,0.003690,2
136,148,0.003736,2
282,188,0.003746,3
274,16,0.003852,3
122,125,0.003887,2
127,175,0.003952,2
30,32,0.004011,2
1,2,0.004061,2
221,248,0.004089,2
11,13,0.004193,2
50,51,0.004237,2
92,93,0.004241,2
99,100,0.004317,2
146,159,0.004385,2
216,223,0.004452,2
142,192,0.004550,2
215,271,0.004616,3
209,219,0.004631,2
287,276,0.004733,4
245,252,0.004883,2
118,145,0.004897,2
133,173,0.004920,2
73,75,0.004949,2
232,240,0.005113,2
57,58,0.005121,2
212,218,0.005223,2
288,165,0.005245,3
45,46,0.005288,2
270,267,0.005371,4
200,234,0.005449,2
74,78,0.005460,2
199,262,0.005504,2
86,284,0.005526,3
203,229,0.005526,2
107,109,0.005630,2
319,69,0.005644,5
235,246,0.005717,2
120,139,0.005827,2
273,236,0.005849,3
224,255,0.005856,2
81,82,0.005907,2
116,117,0.006070,2
298,3,0.006102,3
54,315,0.006126,3
97,101,0.006150,2
220,299,0.006166,3
42,195,0.006228,2
149,182,0.006255,2
283,244,0.006299,4
61,63,0.006305,2
207,308,0.006320,3
144,185,0.006400,2
286,204,0.006430,3
228,238,0.006433,2
202,327,0.006445,3
80,83,0.006545,2
291,222,0.006567,3
38,40,0.006586,2
124,293,0.006662,4
311,147,0.006665,3
134,141,0.006724,2
295,156,0.006844,3
22,25,0.006867,2
135,168,0.006938,2
290,259,0.007081,3
272,324,0.007112,5
339,206,0.007171,5
160,179,0.007190,2
112,114,0.007222,2
106,108,0.007344,2
174,186,0.007374,2
76,77,0.007421,2
317,140,0.007539,4
35,36,0.007541,2
34,37,0.007818,2
309,312,0.007873,6
353,26,0.007912,3
328,153,0.007930,3
121,172,0.008018,2
336,231,0.008225,4
161,187,0.008229,2
184,190,0.008253,2
307,258,0.008277,4
335,303,0.008290,4
314,285,0.008801,5
20,24,0.008896,2
368,131,0.008937,4
157,166,0.009011,2
150,189,0.009123,2
342,177,0.009156,3
357,227,0.009291,6
269,296,0.009524,4
343,347,0.009529,6
208,213,0.009561,2
354,183,0.009653,3
275,338,0.009677,4
344,233,0.009739,3
302,94,0.009744,3
337,254,0.009876,3
39,41,0.010021,2
55,60,0.010075,2
8,10,0.010125,2
119,277,0.010301,3
132,292,0.010394,3
59,62,0.010404,2
330,225,0.010485,3
320,341,0.010489,5
322,329,0.010512,5
47,48,0.010656,2
28,29,0.010688,2
326,66,0.010832,6
349,366,0.011049,10
17,19,0.011058,2
18,279,0.011227,3
397,268,0.011420,7
289,316,0.011538,4
304,151,0.011641,3
70,71,0.011658,2
351,306,0.011862,4
115,332,0.011869,3
53,56,0.011999,2
406,384,0.012107,6
111,113,0.012330,2
398,237,0.012593,6
356,242,0.012687,6
381,305,0.012702,8
300,294,0.012751,5
369,158,0.012823,3
321,362,0.012854,4
358,180,0.013060,3
128,409,0.013139,5
382,280,0.013219,6
390,43,0.013312,3
393,402,0.013322,13
334,391,0.013336,5
370,396,0.013654,7
373,260,0.013699,5
365,364,0.013943,4
405,217,0.014034,8
374,98,0.014073,5
389,375,0.014223,8
352,361,0.014388,5
416,210,0.014498,9
346,331,0.014680,4
394,178,0.014767,4
5,6,0.014823,2
87,88,0.014837,2
103,104,0.014850,2
9,12,0.015569,2
404,376,0.015803,5
438,105,0.015847,3
130,378,0.016010,3
355,310,0.016183,5
44,399,0.016258,3
408,313,0.016352,4
385,171,0.016502,4
444,318,0.016527,5
400,31,0.016674,3
27,448,0.015590,4
392,439,0.016765,4
301,411,0.016777,4
84,323,0.016926,4
388,95,0.017179,4
33,428,0.017367,5
414,345,0.018266,9
154,420,0.018437,4
422,379,0.018473,8
0,333,0.018497,4
350,432,0.018897,8
383,426,0.019054,13
460,429,0.017711,21
360,110,0.019057,3
380,163,0.019071,4
377,421,0.019253,9
91,453,0.019451,5
363,456,0.019526,8
348,423,0.019608,5
449,297,0.019667,6
395,340,0.019756,4
435,446,0.019850,8
