cluster_i,cluster_j,distance,count
265,278,0.022361,2
260,262,0.025495,2
50,84,0.029155,2
16,28,0.036056,2
202,229,0.041231,2
175,194,0.045276,2
113,135,0.045277,2
223,247,0.045277,2
100,136,0.050990,2
253,266,0.051478,2
8,43,0.053851,2
11,23,0.053851,2
196,198,0.053852,2
80,83,0.057009,2
308,138,0.058878,3
9,45,0.060415,2
34,41,0.063245,2
47,49,0.063246,2
105,148,0.065192,2
309,270,0.066458,3
227,238,0.069642,2
143,145,0.071063,2
150,151,0.076485,2
228,243,0.079057,2
271,282,0.079058,2
217,222,0.080623,2
87,94,0.082462,2
140,141,0.084853,2
25,29,0.085147,2
212,224,0.085440,2
314,114,0.088365,4
171,181,0.090554,2
210,234,0.093005,2
263,287,0.094341,2
81,86,0.096177,2
159,189,0.096178,2
71,74,0.102956,2
221,239,0.107703,2
200,231,0.110679,2
55,95,0.113358,2
162,197,0.114236,2
6,44,0.117686,2
123,130,0.120416,2
156,172,0.123491,2
178,187,0.123491,2
58,97,0.130000,2
129,142,0.130384,2
70,89,0.134164,2
32,38,0.134164,2
315,24,0.134969,3
18,31,0.135092,2
168,195,0.136565,2
60,85,0.136565,2
324,283,0.138142,3
106,120,0.139463,2
158,190,0.139464,2
53,59,0.140357,2
111,132,0.142127,2
268,275,0.142127,2
201,246,0.143179,2
306,116,0.147026,3
204,240,0.148661,2
269,279,0.149164,2
139,147,0.149164,2
305,185,0.151932,3
329,320,0.152398,4
303,36,0.156311,3
213,215,0.158113,2
321,149,0.159217,3
0,26,0.161245,2
208,216,0.161245,2
256,292,0.161401,2
131,144,0.161555,2
180,312,0.163400,3
90,98,0.165076,2
161,186,0.166434,2
267,299,0.168077,2
102,127,0.168077,2
251,276,0.168077,2
176,184,0.170000,2
214,325,0.171367,3
108,117,0.174642,2
274,291,0.175071,2
77,79,0.177341,2
12,316,0.179072,3
345,73,0.179351,3
164,344,0.183350,3
19,33,0.197229,2
133,363,0.200208,3
56,63,0.202485,2
78,99,0.203961,2
233,241,0.205060,2
154,167,0.205549,2
334,82,0.208367,3
10,48,0.212604,2
103,128,0.214009,2
163,177,0.215522,2
125,134,0.216333,2
326,88,0.224648,3
101,122,0.226716,2
371,333,0.227431,4
285,288,0.228254,2
353,298,0.229656,4
338,245,0.230109,3
1,310,0.231878,3
373,192,0.232380,4
61,67,0.232594,2
107,146,0.234307,2
191,193,0.234308,2
257,376,0.235974,3
356,62,0.236995,3
52,336,0.238048,3
206,244,0.238537,2
332,230,0.240451,3
226,235,0.240832,2
211,323,0.250233,3
293,294,0.252982,2
166,170,0.256125,2
301,280,0.258360,3
367,220,0.265832,3
250,402,0.268263,5
364,379,0.269084,5
13,37,0.270740,2
399,109,0.273861,3
157,173,0.278030,2
2,5,0.279732,2
64,72,0.283989,2
319,295,0.286372,4
57,383,0.286967,3
219,248,0.290689,2
39,46,0.293342,2
124,327,0.294958,3
272,289,0.295466,2
182,199,0.296143,2
160,386,0.297209,4
30,35,0.299082,2
110,112,0.300000,2
358,284,0.300222,3
354,118,0.300361,3
385,76,0.303864,4
153,183,0.304630,2
410,54,0.304686,4
255,286,0.304795,2
203,207,0.305368,2
351,174,0.316360,3
413,225,0.322542,4
349,22,0.322813,4
307,242,0.324165,3
409,296,0.325488,4
335,340,0.327566,4
348,317,0.330151,4
66,92,0.331210,2
381,137,0.331311,3
339,96,0.334290,3
254,264,0.335037,2
20,27,0.335410,2
384,17,0.337207,4
205,218,0.339485,2
4,42,0.341247,2
343,375,0.348892,4
406,93,0.353883,3
369,21,0.367423,3
401,290,0.368284,3
15,40,0.370000,2
360,121,0.376840,4
405,188,0.377359,5
68,390,0.377801,3
51,65,0.377955,2
261,273,0.382689,2
414,236,0.384795,3
252,300,0.387857,3
411,352,0.397647,5
14,463,0.400208,3
366,350,0.407403,5
378,259,0.418828,3
355,331,0.431886,4
370,232,0.435738,3
389,347,0.442832,4
457,365,0.447819,6
104,357,0.449741,3
418,416,0.451663,5
436,372,0.455906,4
425,387,0.457630,4
152,417,0.457893,3
441,75,0.460456,5
456,328,0.461239,6
423,342,0.477807,5
415,237,0.479799,4
395,318,0.483037,4
407,368,0.487750,5
419,249,0.506096,4
258,468,0.517961,3
412,380,0.521184,5
424,433,0.541203,4
313,91,0.544442,3
439,374,0.544824,6
322,434,0.549577,6
451,393,0.553492,5
311,430,0.558055,4
330,346,0.561434,6
377,115,0.571912,3
486,388,0.581392,8
179,408,0.600250,3
341,422,0.607557,4
7,435,0.608673,3
443,361,0.618324,4
448,277,0.622066,5
169,421,0.625694,6
461,3,0.641385,4
470,297,0.643306,4
420,427,0.664377,9
479,119,0.683453,4
281,462,0.688289,4
362,432,0.705567,4
449,396,0.713606,6
475,465,0.721066,9
477,426,0.743012,6
499,464,0.751040,10
511,431,0.756946,7
445,447,0.760729,7
209,487,0.767805,5
490,391,0.770044,6
155,165,0.787686,2
492,476,0.821931,8
302,460,0.838365,5
500,452,0.840288,6
471,428,0.841931,8
518,126,0.855742,8
466,398,0.860484,6
440,507,0.860562,8
453,69,0.870345,4
510,382,0.880044,11
455,450,0.881287,6
458,504,0.886914,5
482,446,0.896508,8
493,444,0.898329,7
503,485,0.903308,10
403,429,0.905086,5
404,472,0.911336,6
438,489,0.958558,8
304,478,0.984420,8
505,469,1.000701,7
442,512,1.006929,6
359,337,1.015997,4
483,514,1.049776,9
526,494,1.087545,11
394,532,1.097820,8
474,400,1.141691,7
509,437,1.150021,7
506,491,1.158151,8
501,397,1.175266,10
530,495,1.201826,10
533,473,1.255851,10
520,519,1.322028,12
459,515,1.329452,13
467,484,1.381614,7
547,513,1.517885,11
544,392,1.519249,11
554,502,1.534362,16
508,536,1.536048,14
516,528,1.616604,12
548,454,1.656383,9
524,555,1.658548,12
537,540,1.668740,13
527,539,1.806974,16
522,535,1.813342,9
488,481,2.115777,8
517,525,2.140675,16
563,521,2.194668,19
531,542,2.247466,17
543,553,2.408991,16
559,498,2.450320,18
534,552,2.466736,18
549,480,2.610984,13
496,565,2.649345,15
551,560,2.672872,22
529,558,2.854831,24
541,523,3.068271,15
538,546,3.280601,14
562,545,3.310539,23
567,550,3.667010,26
569,561,3.677983,26
575,497,3.967099,27
566,564,4.228274,24
556,573,4.391695,24
557,576,4.621745,35
568,577,4.894671,34
571,578,4.899401,32
574,585,5.234265,50
587,572,5.544934,50
586,570,5.713314,50
580,583,6.107222,50
581,584,6.115722,50
579,582,6.662739,50
593,591,28.705649,100
589,588,29.086094,100
594,590,75.206503,150
595,592,77.584284,150
597,596,108.269620,300
