dataset,linkage,mode,threads,n_points,wall_ms
zelnik6,single,serial,4,238,9.91
zelnik6,complete,serial,4,238,9.59
zelnik6,average,serial,4,238,9.49
zelnik6,ward,serial,4,238,55.13
zelnik6,centroid,serial,4,238,50.63
zelnik6,median,serial,4,238,52.60
zelnik1,single,serial,4,299,20.41
zelnik1,complete,serial,4,299,13.98
zelnik1,average,serial,4,299,17.55
zelnik1,ward,serial,4,299,95.65
zelnik1,centroid,serial,4,299,101.50
zelnik1,median,serial,4,299,102.89
3MC,single,serial,4,400,44.40
3MC,complete,serial,4,400,34.96
3MC,average,serial,4,400,35.86
3MC,ward,serial,4,400,237.75
3MC,centroid,serial,4,400,248.72
3MC,median,serial,4,400,254.17
target,single,serial,4,770,254.04
target,complete,serial,4,770,255.68
target,average,serial,4,770,284.31
target,ward,serial,4,770,1720.80
target,centroid,serial,4,770,1733.55
target,median,serial,4,770,1783.98
2spiral,single,serial,4,1000,521.10
2spiral,complete,serial,4,1000,463.99
2spiral,average,serial,4,1000,484.88
2spiral,ward,serial,4,1000,3413.23
2spiral,centroid,serial,4,1000,3547.00
2spiral,median,serial,4,1000,3633.16
smile2,single,serial,4,1000,551.65
smile2,complete,serial,4,1000,539.56
smile2,average,serial,4,1000,538.11
smile2,ward,serial,4,1000,3672.45
smile2,centroid,serial,4,1000,3708.55
smile2,median,serial,4,1000,3801.20
diamond9,single,serial,4,3000,19321.95
diamond9,complete,serial,4,3000,17199.26
diamond9,average,serial,4,3000,22044.90
diamond9,ward,serial,4,3000,107597.09
diamond9,centroid,serial,4,3000,110988.30
diamond9,median,serial,4,3000,113419.41
complex9,single,serial,4,3031,20020.49
complex9,complete,serial,4,3031,17994.09
complex9,average,serial,4,3031,23019.28
complex9,ward,serial,4,3031,113672.39
complex9,centroid,serial,4,3031,114505.98
complex9,median,serial,4,3031,118790.95
