cluster_i,cluster_j,distance,count
211,212,0.000531,2
45,50,0.000941,2
13,18,0.000982,2
52,59,0.001071,2
15,30,0.001166,2
123,124,0.001219,2
16,38,0.001276,2
202,203,0.001394,2
19,22,0.001652,2
138,142,0.001701,2
301,29,0.001705,3
6,7,0.001728,2
0,1,0.001736,2
2,305,0.001818,3
36,49,0.001960,2
76,78,0.002070,2
9,14,0.002174,2
132,133,0.002253,2
102,105,0.002271,2
134,135,0.002386,2
25,55,0.002413,2
303,27,0.002484,3
302,54,0.002492,3
61,62,0.002628,2
5,319,0.002786,3
20,28,0.002825,2
53,56,0.002849,2
216,217,0.002860,2
311,60,0.002969,3
327,321,0.002961,6
186,188,0.003174,2
44,46,0.003193,2
35,40,0.003306,2
65,66,0.003371,2
96,98,0.003447,2
144,145,0.003564,2
51,58,0.003600,2
99,100,0.003678,2
17,23,0.003710,2
95,97,0.003967,2
164,166,0.004127,2
88,91,0.004134,2
322,197,0.004222,3
89,90,0.004277,2
140,141,0.004528,2
83,85,0.004622,2
312,323,0.004701,6
117,118,0.004795,2
42,330,0.004831,3
317,103,0.004950,3
183,329,0.004952,3
4,8,0.004984,2
316,318,0.005040,4
107,110,0.005122,2
160,163,0.005171,2
201,298,0.005229,2
320,43,0.005310,4
168,172,0.005346,2
120,121,0.005383,2
136,198,0.005475,2
75,314,0.005553,3
345,335,0.005611,8
108,109,0.005697,2
125,127,0.005890,2
359,79,0.005997,4
309,307,0.006086,5
325,57,0.006105,3
355,33,0.006260,5
308,343,0.006331,4
328,313,0.006538,8
72,73,0.006540,2
170,174,0.006639,2
364,324,0.006701,7
3,21,0.006747,2
287,288,0.006753,2
219,220,0.006776,2
177,179,0.006953,2
82,86,0.007093,2
334,149,0.007186,3
153,157,0.007209,2
161,165,0.007224,2
336,101,0.007297,3
126,131,0.007365,2
169,173,0.007420,2
237,238,0.007457,2
147,148,0.007542,2
176,178,0.007558,2
11,337,0.007569,3
372,26,0.007651,3
250,252,0.007688,2
300,47,0.007704,3
332,67,0.007707,3
353,162,0.007752,3
368,360,0.007959,16
152,154,0.007972,2
340,342,0.007978,4
39,347,0.008090,4
315,386,0.008563,5
387,366,0.008635,8
381,130,0.008641,3
80,344,0.008763,3
68,70,0.008874,2
71,369,0.008940,3
156,159,0.008977,2
192,195,0.009006,2
24,32,0.009164,2
352,111,0.009260,3
113,116,0.009316,2
264,265,0.009366,2
363,77,0.009424,5
209,210,0.009535,2
310,10,0.009600,3
349,189,0.009834,4
200,354,0.010008,3
190,191,0.010265,2
143,146,0.010381,2
333,380,0.010525,5
384,150,0.010828,3
331,41,0.010967,3
180,181,0.010990,2
348,104,0.011045,4
408,81,0.011113,6
34,37,0.011357,2
376,84,0.011425,3
399,422,0.011089,6
389,48,0.011493,4
375,182,0.011577,3
341,196,0.011646,4
64,358,0.011811,3
382,370,0.011961,4
411,185,0.012045,5
350,410,0.012089,5
230,231,0.012246,2
417,395,0.012473,7
271,272,0.012642,2
119,357,0.012719,3
397,404,0.013274,10
379,339,0.013293,4
259,260,0.013400,2
293,294,0.013540,2
112,406,0.013949,3
266,267,0.013973,2
396,371,0.014481,12
393,378,0.014504,4
398,128,0.014655,4
429,187,0.014716,6
155,158,0.014785,2
74,420,0.014791,7
226,227,0.014830,2
388,251,0.015082,3
285,286,0.015194,2
223,224,0.015499,2
400,69,0.015530,3
392,430,0.015554,21
405,361,0.015728,5
356,171,0.015735,3
115,346,0.015742,3
93,94,0.015777,2
403,193,0.016097,3
453,114,0.016127,6
137,367,0.016142,5
459,414,0.016157,7
452,365,0.016288,24
175,385,0.016466,3
416,151,0.016540,4
232,233,0.016554,2
436,167,0.016826,5
454,428,0.016842,7
432,424,0.017217,11
425,418,0.017391,5
122,362,0.017419,3
289,290,0.017468,2
280,282,0.017936,2
445,402,0.018012,4
426,63,0.018541,5
419,106,0.018702,5
441,12,0.019189,13
242,243,0.020051,2
473,427,0.020540,8
444,184,0.020596,7
435,475,0.020688,23
292,438,0.020746,3
31,421,0.020823,3
261,262,0.020886,2
276,277,0.020950,2
412,297,0.020971,4
443,129,0.021054,5
377,463,0.021094,7
87,394,0.021116,5
306,204,0.021176,3
413,194,0.021229,3
228,229,0.021281,2
