cluster_i,cluster_j,distance,count
211,212,0.000376,2
45,50,0.000666,2
13,18,0.000694,2
52,59,0.000757,2
15,30,0.000825,2
123,124,0.000862,2
16,38,0.000903,2
202,203,0.000986,2
19,22,0.001168,2
138,142,0.001203,2
6,7,0.001222,2
0,1,0.001228,2
36,49,0.001386,2
301,29,0.001393,3
76,78,0.001464,2
2,305,0.001484,3
9,14,0.001537,2
132,133,0.001593,2
102,105,0.001606,2
134,135,0.001687,2
25,55,0.001706,2
61,62,0.001858,2
54,60,0.001876,2
20,28,0.001997,2
53,56,0.002014,2
216,217,0.002022,2
303,27,0.002028,3
186,188,0.002244,2
44,46,0.002258,2
5,319,0.002275,3
35,40,0.002337,2
65,66,0.002383,2
96,98,0.002437,2
144,145,0.002520,2
51,58,0.002546,2
99,100,0.002601,2
17,23,0.002624,2
95,97,0.002805,2
310,321,0.002866,4
164,166,0.002918,2
88,91,0.002923,2
89,90,0.003024,2
140,141,0.003202,2
83,85,0.003268,2
337,302,0.003381,6
117,118,0.003390,2
320,197,0.003448,3
4,8,0.003524,2
107,110,0.003622,2
160,163,0.003656,2
201,298,0.003698,2
168,172,0.003780,2
120,121,0.003807,2
136,198,0.003871,2
42,327,0.003944,3
108,109,0.004028,2
317,103,0.004042,3
183,326,0.004043,3
125,127,0.004165,2
3,43,0.004226,2
75,79,0.004404,2
72,73,0.004625,2
170,174,0.004694,2
287,288,0.004775,2
219,220,0.004791,2
32,33,0.004893,2
177,179,0.004917,2
323,57,0.004985,3
82,86,0.005016,2
316,318,0.005040,4
153,157,0.005097,2
161,165,0.005108,2
328,21,0.005191,4
126,131,0.005208,2
169,173,0.005247,2
237,238,0.005273,2
359,313,0.005304,4
147,148,0.005333,2
176,178,0.005344,2
250,252,0.005436,2
314,333,0.005588,5
152,154,0.005637,2
332,149,0.005868,3
325,26,0.005910,4
334,101,0.005958,3
11,335,0.006180,3
311,39,0.006223,3
68,70,0.006275,2
300,47,0.006290,3
330,67,0.006293,3
348,162,0.006329,3
308,341,0.006331,4
156,159,0.006348,2
192,195,0.006368,2
113,116,0.006587,2
264,265,0.006623,2
312,307,0.006667,5
209,210,0.006742,2
372,130,0.007055,3
77,81,0.007082,2
80,342,0.007155,3
358,382,0.007242,6
190,191,0.007258,2
71,360,0.007300,3
143,146,0.007341,2
347,111,0.007561,3
180,181,0.007771,2
309,10,0.007838,3
339,340,0.007978,4
395,322,0.008009,7
34,37,0.008031,2
200,349,0.008171,3
187,189,0.008207,2
379,371,0.008289,9
230,231,0.008659,2
376,150,0.008841,3
271,272,0.008940,2
41,353,0.008952,4
24,364,0.009159,3
356,185,0.009315,4
367,84,0.009329,3
315,384,0.009380,5
365,182,0.009453,3
259,260,0.009475,2
355,104,0.009565,4
293,294,0.009574,2
64,352,0.009644,3
266,267,0.009880,2
387,48,0.009953,4
345,196,0.010086,4
119,351,0.010385,3
155,158,0.010455,2
226,227,0.010486,2
285,286,0.010744,2
112,114,0.010746,2
74,375,0.010816,5
223,224,0.010959,2
361,175,0.011051,3
93,94,0.011156,2
406,12,0.011292,4
331,383,0.011530,5
232,233,0.011706,2
378,251,0.012314,3
289,290,0.012352,2
151,380,0.012474,3
386,69,0.012680,3
280,282,0.012683,2
397,128,0.012692,4
343,385,0.012838,9
350,171,0.012847,3
115,344,0.012853,3
329,416,0.012974,6
392,193,0.013143,3
370,338,0.013293,4
137,403,0.013458,3
399,419,0.013581,6
434,398,0.013940,7
242,243,0.014178,2
122,357,0.014222,3
433,393,0.014543,4
418,411,0.014660,6
106,354,0.014661,3
261,262,0.014769,2
276,277,0.014814,2
400,417,0.014998,9
228,229,0.015048,2
452,167,0.015050,5
213,214,0.015680,2
235,236,0.015827,2
283,284,0.015918,2
207,208,0.016118,2
256,257,0.016418,2
346,438,0.016561,6
268,269,0.016571,2
428,63,0.016584,5
292,424,0.016939,3
31,409,0.017002,3
278,279,0.017059,2
390,139,0.017131,5
306,204,0.017290,3
401,194,0.017333,3
274,275,0.017439,2
296,297,0.017734,2
373,436,0.017794,5
430,391,0.018012,4
447,412,0.018493,18
246,247,0.018624,2
215,324,0.018778,3
244,245,0.018806,2
446,129,0.018831,5
87,407,0.018886,5
421,405,0.019051,5
459,184,0.019069,7
92,437,0.019216,3
225,431,0.019302,3
240,241,0.019753,2
218,363,0.020618,3
381,414,0.020959,6
254,255,0.020974,2
443,369,0.020988,5
221,222,0.021122,2
442,291,0.021205,3
445,281,0.021551,3
460,404,0.022652,6
248,249,0.022981,2
448,482,0.023516,8
457,304,0.023988,5
374,239,0.024213,3
205,206,0.024554,2
420,408,0.024731,12
415,273,0.024938,3
453,477,0.024967,8
441,253,0.025376,4
472,270,0.025885,3
484,366,0.026399,21
461,263,0.026574,3
444,402,0.027168,6
410,481,0.027924,5
473,425,0.028125,8
234,467,0.028394,3
449,429,0.028465,6
450,427,0.028575,10
336,439,0.028646,7
377,490,0.028941,7
463,475,0.030399,12
413,440,0.030494,4
479,451,0.031676,6
456,487,0.031912,4
470,258,0.032750,3
510,199,0.033237,9
396,299,0.034528,4
485,503,0.034622,4
489,492,0.038440,8
483,389,0.038870,7
513,471,0.039306,27
394,426,0.040342,4
388,515,0.041628,9
505,488,0.041850,10
468,432,0.042212,4
480,462,0.043086,4
458,519,0.044595,10
422,514,0.046189,5
516,295,0.046207,6
507,469,0.047206,4
499,435,0.053154,4
423,502,0.054164,10
466,486,0.056330,5
498,532,0.056869,12
465,504,0.057096,13
523,520,0.058797,22
497,527,0.061634,5
476,501,0.062890,5
491,525,0.063013,13
500,474,0.064149,6
518,506,0.065120,6
533,508,0.066569,39
493,464,0.066688,5
512,509,0.067339,6
537,362,0.072468,6
368,528,0.073545,13
454,531,0.073718,14
494,526,0.080683,6
535,455,0.091827,16
554,548,0.092260,61
545,495,0.098925,8
496,546,0.099172,18
478,542,0.100689,7
530,511,0.103323,8
521,544,0.111562,17
517,551,0.120748,21
547,522,0.123440,20
539,536,0.131220,20
540,534,0.141861,9
538,550,0.145667,9
555,524,0.147493,9
529,563,0.194492,12
541,552,0.217156,12
553,560,0.226796,12
558,564,0.230770,31
559,567,0.235790,31
543,573,0.240457,13
566,549,0.245058,13
572,557,0.293708,15
571,556,0.295795,15
568,561,0.298660,37
575,565,0.379086,19
578,570,0.472676,51
577,569,0.480607,51
562,586,0.533685,112
576,580,0.625104,25
574,579,0.629779,25
583,584,0.695511,56
582,581,0.801062,30
587,585,0.841887,163
592,588,1.278420,188
590,589,1.310063,81
593,591,1.532282,218
595,594,1.831090,299
