cluster_i,cluster_j,distance,count
198,230,0.000216,2
65,67,0.000651,2
253,264,0.000699,2
123,152,0.000964,2
64,68,0.001123,2
251,257,0.001236,2
266,241,0.001356,3
211,239,0.001498,2
14,15,0.001534,2
126,191,0.001845,2
162,181,0.001996,2
143,169,0.001998,2
247,250,0.002052,2
21,23,0.002320,2
167,170,0.002360,2
197,205,0.002659,2
137,176,0.002738,2
89,90,0.003141,2
278,249,0.003175,3
194,281,0.003240,3
193,256,0.003301,2
129,155,0.003474,2
138,164,0.003500,2
201,261,0.003534,2
214,243,0.003575,2
196,226,0.003690,2
136,148,0.003736,2
122,125,0.003887,2
282,188,0.003907,3
274,16,0.003922,3
127,175,0.003952,2
30,32,0.004011,2
1,2,0.004061,2
221,248,0.004089,2
11,13,0.004193,2
50,51,0.004237,2
92,93,0.004241,2
99,100,0.004317,2
146,159,0.004385,2
216,223,0.004452,2
142,192,0.004550,2
209,219,0.004631,2
215,271,0.004655,3
245,252,0.004883,2
118,145,0.004897,2
133,173,0.004920,2
73,75,0.004949,2
287,276,0.005056,4
232,240,0.005113,2
57,58,0.005121,2
212,218,0.005223,2
45,46,0.005288,2
270,267,0.005400,4
288,165,0.005441,3
200,234,0.005449,2
74,78,0.005460,2
199,262,0.005504,2
203,229,0.005526,2
107,109,0.005630,2
86,283,0.005687,3
235,246,0.005717,2
120,139,0.005827,2
224,255,0.005856,2
273,236,0.005883,3
81,82,0.005907,2
116,117,0.006070,2
97,101,0.006150,2
42,195,0.006228,2
318,69,0.006244,5
149,182,0.006255,2
61,63,0.006305,2
144,185,0.006400,2
285,244,0.006423,4
298,3,0.006430,3
228,238,0.006433,2
286,204,0.006446,3
220,299,0.006475,3
80,83,0.006545,2
54,315,0.006577,3
38,40,0.006586,2
134,141,0.006724,2
207,307,0.006726,3
291,222,0.006729,3
124,294,0.006786,4
22,25,0.006867,2
293,156,0.006909,3
135,168,0.006938,2
310,147,0.006963,3
202,326,0.007049,3
160,179,0.007190,2
290,259,0.007193,3
112,114,0.007222,2
106,108,0.007344,2
174,186,0.007374,2
76,77,0.007421,2
35,36,0.007541,2
272,323,0.007572,5
206,227,0.007689,2
319,140,0.007742,4
34,37,0.007818,2
121,172,0.008018,2
161,187,0.008229,2
184,190,0.008253,2
327,153,0.008309,3
313,311,0.008385,6
350,26,0.008503,3
308,258,0.008507,4
342,231,0.008724,4
20,24,0.008896,2
157,166,0.009011,2
332,303,0.009040,4
314,284,0.009097,5
338,363,0.009119,6
150,189,0.009123,2
208,213,0.009561,2
269,296,0.009575,4
369,131,0.009668,4
337,177,0.009698,3
340,233,0.009912,3
302,94,0.009967,3
39,41,0.010021,2
55,60,0.010075,2
8,10,0.010125,2
352,183,0.010153,3
275,335,0.010158,4
119,277,0.010310,3
333,254,0.010330,3
59,62,0.010404,2
341,348,0.010431,6
328,225,0.010535,3
132,292,0.010554,3
47,48,0.010656,2
28,29,0.010688,2
322,237,0.010775,3
320,347,0.010973,5
17,19,0.011058,2
334,66,0.011071,6
18,279,0.011264,3
289,316,0.011600,4
70,71,0.011658,2
304,151,0.011806,3
115,331,0.011907,3
53,56,0.011999,2
349,370,0.012145,10
217,268,0.012305,3
346,306,0.012326,4
111,113,0.012330,2
399,329,0.012450,6
300,295,0.012779,5
366,158,0.012882,3
362,242,0.012887,6
355,180,0.013256,3
321,360,0.013436,4
378,305,0.013518,8
381,280,0.013584,6
400,410,0.014006,8
386,43,0.014041,3
372,260,0.014153,5
404,380,0.014227,6
344,387,0.014423,5
373,395,0.014521,7
128,411,0.014593,5
365,361,0.014614,4
376,98,0.014685,5
5,6,0.014823,2
351,359,0.014828,5
87,88,0.014837,2
103,104,0.014850,2
391,409,0.014977,13
343,330,0.015086,4
396,178,0.015367,4
392,377,0.015386,8
9,12,0.015569,2
419,210,0.015796,9
44,397,0.016406,3
356,309,0.016533,5
130,375,0.016594,3
27,31,0.016705,2
301,52,0.016898,3
389,171,0.016925,4
403,374,0.016954,5
84,325,0.016997,4
405,312,0.017307,4
385,95,0.017392,4
433,105,0.017397,3
443,398,0.017549,4
440,317,0.018532,5
388,438,0.018635,4
0,339,0.018685,4
33,428,0.018788,5
383,163,0.019225,4
420,379,0.019253,8
413,354,0.019288,9
358,110,0.019364,3
154,417,0.019637,4
353,364,0.019715,7
393,336,0.019870,4
345,422,0.020305,5
382,427,0.020554,9
394,426,0.020821,13
96,429,0.020950,6
91,449,0.021055,5
416,384,0.021133,9
451,297,0.021446,6
435,85,0.021573,5
