cluster_i,cluster_j,distance,count
198,230,0.000216,2
65,67,0.000651,2
253,264,0.000699,2
123,152,0.000964,2
64,68,0.001123,2
251,257,0.001236,2
266,241,0.001459,3
211,239,0.001498,2
14,15,0.001534,2
126,191,0.001845,2
162,181,0.001996,2
143,169,0.001998,2
247,250,0.002052,2
21,23,0.002320,2
167,170,0.002360,2
197,205,0.002659,2
137,176,0.002738,2
89,90,0.003141,2
193,256,0.003301,2
194,281,0.003307,3
129,155,0.003474,2
138,164,0.003500,2
201,261,0.003534,2
214,243,0.003575,2
196,226,0.003690,2
136,148,0.003736,2
122,125,0.003887,2
127,175,0.003952,2
30,32,0.004011,2
1,2,0.004061,2
221,248,0.004089,2
274,16,0.004133,3
278,249,0.004143,3
11,13,0.004193,2
50,51,0.004237,2
92,93,0.004241,2
99,100,0.004317,2
146,159,0.004385,2
216,223,0.004452,2
142,192,0.004550,2
209,219,0.004631,2
282,188,0.004709,3
215,271,0.004783,3
245,252,0.004883,2
118,145,0.004897,2
133,173,0.004920,2
73,75,0.004949,2
232,240,0.005113,2
57,58,0.005121,2
212,218,0.005223,2
45,46,0.005288,2
200,234,0.005449,2
74,78,0.005460,2
199,262,0.005504,2
203,229,0.005526,2
107,109,0.005630,2
235,246,0.005717,2
120,139,0.005827,2
224,255,0.005856,2
270,267,0.005882,4
81,82,0.005907,2
116,117,0.006070,2
286,276,0.006117,4
97,101,0.006150,2
42,195,0.006228,2
149,182,0.006255,2
273,236,0.006286,3
61,63,0.006305,2
144,185,0.006400,2
287,165,0.006425,3
228,238,0.006433,2
86,283,0.006502,3
295,3,0.006539,3
80,83,0.006545,2
38,40,0.006586,2
206,244,0.006628,2
325,69,0.006689,5
134,141,0.006724,2
22,25,0.006867,2
135,168,0.006938,2
207,306,0.006976,3
220,296,0.006999,3
160,179,0.007190,2
202,322,0.007205,3
112,114,0.007222,2
106,108,0.007344,2
174,186,0.007374,2
76,77,0.007421,2
54,314,0.007484,3
35,36,0.007541,2
34,37,0.007818,2
290,222,0.007849,3
121,172,0.008018,2
284,204,0.008033,3
161,187,0.008229,2
184,190,0.008253,2
310,147,0.008351,3
289,259,0.008455,3
292,156,0.008605,3
131,153,0.008819,2
272,320,0.008876,5
20,24,0.008896,2
124,307,0.008972,4
157,166,0.009011,2
150,189,0.009123,2
285,341,0.009386,5
208,213,0.009561,2
334,177,0.009806,3
308,258,0.009851,4
344,26,0.009950,3
39,41,0.010021,2
55,60,0.010075,2
8,10,0.010125,2
291,183,0.010241,3
269,280,0.010251,4
301,94,0.010303,3
59,62,0.010404,2
47,48,0.010656,2
28,29,0.010688,2
347,231,0.010709,4
329,302,0.010738,4
210,254,0.010833,2
335,140,0.010901,4
17,19,0.011058,2
119,277,0.011212,3
304,227,0.011308,3
275,331,0.011517,4
70,71,0.011658,2
132,178,0.011687,2
328,311,0.011796,6
313,298,0.011867,5
18,279,0.011969,3
53,56,0.011999,2
111,113,0.012330,2
336,233,0.012546,3
217,268,0.012615,3
303,151,0.012770,3
323,365,0.013007,4
324,225,0.013278,3
319,237,0.013367,3
342,66,0.013410,6
359,357,0.014425,6
315,391,0.014522,5
299,12,0.014758,3
115,327,0.014792,3
5,6,0.014823,2
87,88,0.014837,2
103,104,0.014850,2
343,305,0.015073,4
288,372,0.015452,4
7,9,0.015729,2
318,353,0.015944,4
317,346,0.015989,5
348,180,0.016044,3
400,242,0.016177,4
376,43,0.016315,3
374,260,0.016340,5
358,158,0.016698,3
27,31,0.016705,2
128,414,0.016788,5
96,98,0.016899,2
345,379,0.016907,5
368,395,0.017156,10
84,85,0.017320,2
405,332,0.017575,6
130,369,0.017717,3
354,377,0.017729,5
339,326,0.018445,4
300,52,0.018551,3
33,355,0.018884,3
380,293,0.018924,6
413,105,0.019293,3
330,387,0.019610,4
363,309,0.020421,5
397,367,0.020492,5
0,338,0.020527,4
351,110,0.020663,3
381,95,0.020706,4
366,263,0.020729,6
364,352,0.020829,5
383,49,0.020850,3
154,419,0.020863,4
418,401,0.021019,8
393,312,0.021510,4
435,356,0.022140,5
384,294,0.022583,4
373,163,0.022637,4
427,171,0.022891,6
44,316,0.023575,3
416,378,0.024088,4
91,443,0.024139,5
385,404,0.024351,7
438,396,0.024847,9
390,392,0.025070,7
297,389,0.025108,5
426,386,0.026005,6
362,388,0.026430,7
371,408,0.026735,10
370,361,0.026930,4
340,421,0.027413,5
382,333,0.027514,4
79,433,0.028541,5
399,350,0.029544,4
403,425,0.030524,9
434,398,0.030781,5
