cluster_i,cluster_j,distance,count
20,47,0.000210,2
41,42,0.000661,2
7,50,0.000860,2
238,28,0.000861,3
61,65,0.000885,2
2,11,0.000912,2
67,88,0.001045,2
32,146,0.001161,2
155,164,0.001288,2
36,161,0.001341,2
23,52,0.001349,2
64,135,0.001365,2
24,38,0.001472,2
82,109,0.001549,2
241,35,0.001590,4
92,122,0.001616,2
10,178,0.001681,2
243,165,0.001698,3
55,181,0.001750,2
8,179,0.001763,2
117,118,0.001825,2
80,110,0.001887,2
99,126,0.001928,2
115,136,0.001993,2
140,169,0.002025,2
259,100,0.002295,3
85,137,0.002331,2
75,258,0.002383,3
245,157,0.002413,3
1,154,0.002450,2
96,128,0.002527,2
71,94,0.002557,2
256,262,0.002558,4
60,124,0.002703,2
9,25,0.002761,2
268,261,0.002805,4
254,149,0.002826,3
119,121,0.002884,2
18,44,0.002922,2
273,134,0.002978,5
51,180,0.003019,2
173,174,0.003158,2
46,163,0.003393,2
15,177,0.003456,2
95,131,0.003461,2
59,249,0.003480,3
248,162,0.003542,3
17,247,0.003564,3
91,120,0.003606,2
252,145,0.003614,5
14,279,0.003628,3
84,125,0.003705,2
83,106,0.003745,2
271,289,0.003800,4
74,104,0.003805,2
98,107,0.003838,2
66,282,0.003852,3
22,48,0.003887,2
153,160,0.003968,2
295,147,0.003985,3
77,90,0.003993,2
276,142,0.004049,3
21,170,0.004145,2
144,148,0.004157,2
12,270,0.004276,5
284,156,0.004283,4
43,168,0.004304,2
70,101,0.004340,2
305,81,0.004407,3
89,111,0.004439,2
274,37,0.004568,4
19,300,0.004591,3
301,171,0.004617,3
194,195,0.004655,2
5,151,0.004685,2
264,105,0.004695,3
294,306,0.004831,6
108,127,0.004864,2
68,275,0.004869,3
255,138,0.004907,4
314,316,0.004920,9
102,130,0.004924,2
87,277,0.004947,6
307,133,0.004951,3
272,288,0.004957,5
62,292,0.004978,3
320,114,0.005040,7
240,176,0.005054,3
322,303,0.005233,9
302,297,0.005261,8
53,159,0.005263,2
57,321,0.005276,4
40,45,0.005350,2
283,265,0.005358,6
290,313,0.005374,5
78,324,0.005430,8
26,296,0.005471,3
317,172,0.005545,5
0,310,0.005681,4
331,319,0.005711,8
16,175,0.005738,2
69,251,0.005741,3
327,30,0.005761,9
337,63,0.005763,9
291,260,0.005786,6
318,112,0.005845,10
58,342,0.005907,7
323,116,0.006095,4
267,257,0.006107,4
344,93,0.006221,8
346,54,0.006224,5
286,97,0.006327,3
56,332,0.006356,6
350,339,0.006357,9
269,72,0.006365,3
309,287,0.006396,8
308,330,0.006429,6
334,166,0.006447,4
29,39,0.006480,2
143,158,0.006489,2
340,281,0.006575,11
336,250,0.006642,6
242,345,0.006712,6
348,356,0.006727,7
278,152,0.006753,3
347,79,0.006767,9
335,6,0.006842,6
341,244,0.006869,11
3,354,0.006880,7
4,325,0.007149,4
13,304,0.007157,3
328,357,0.007175,4
86,113,0.007179,2
343,370,0.007196,12
351,365,0.007242,20
349,253,0.007374,5
329,363,0.007377,13
359,266,0.007388,9
358,139,0.007400,12
353,355,0.007502,12
361,31,0.007670,8
372,263,0.007689,23
366,27,0.007769,8
378,377,0.007785,20
379,373,0.007910,28
374,360,0.007995,19
364,299,0.008017,9
383,73,0.008051,20
312,326,0.008081,11
386,239,0.008214,13
352,132,0.008282,4
375,362,0.008288,12
382,315,0.008347,30
390,129,0.008403,31
391,333,0.008474,39
230,231,0.008498,2
380,369,0.008656,12
389,280,0.008754,14
385,293,0.008782,22
396,298,0.008792,24
392,397,0.008876,63
398,371,0.008902,75
395,34,0.008917,15
399,76,0.008932,76
400,384,0.008970,24
387,376,0.009006,25
141,246,0.009215,3
401,123,0.009256,77
381,150,0.009274,21
405,388,0.009349,81
407,103,0.009384,82
403,167,0.009469,26
406,368,0.009564,24
410,338,0.009587,26
402,404,0.009615,27
394,49,0.009903,13
413,409,0.010093,39
412,414,0.010274,66
415,411,0.010452,92
416,367,0.010646,96
197,198,0.011580,2
417,33,0.011697,97
419,285,0.012082,100
205,206,0.016852,2
219,220,0.017115,2
182,237,0.017948,2
213,214,0.021376,2
202,203,0.022794,2
186,187,0.023269,2
199,200,0.024671,2
210,211,0.026367,2
233,234,0.027755,2
208,209,0.028231,2
422,221,0.029490,3
191,192,0.030246,2
216,217,0.032300,2
423,236,0.032703,3
225,226,0.032881,2
184,185,0.033073,2
188,189,0.033901,2
433,218,0.034075,3
434,183,0.035374,4
436,426,0.035476,4
428,212,0.036077,3
435,227,0.036549,3
224,442,0.036883,4
204,421,0.039167,3
443,228,0.039481,5
437,190,0.039494,3
431,222,0.039711,4
424,215,0.040441,3
223,445,0.041009,6
429,235,0.042488,3
427,201,0.042530,3
232,450,0.043213,4
408,311,0.043943,84
229,393,0.044094,3
446,432,0.044929,5
439,452,0.045189,8
207,430,0.045466,3
456,440,0.047630,12
449,454,0.048112,9
453,196,0.048126,85
455,193,0.049792,6
460,418,0.050215,87
451,425,0.050468,5
462,461,0.050591,93
458,459,0.050674,21
457,441,0.051187,6
463,444,0.051829,8
465,447,0.053321,25
420,468,0.053671,125
466,448,0.054076,9
467,470,0.056080,17
464,471,0.057636,110
472,438,0.059622,113
469,473,0.062252,238
