dataset,linkage,mode,threads,n_points,wall_ms
3MC,single,parallel,1,400,114.32
3MC,complete,parallel,1,400,103.78
3MC,average,parallel,1,400,89.15
3MC,ward,parallel,1,400,991.97
3MC,centroid,parallel,1,400,1046.48
3MC,median,parallel,1,400,1080.08
3MC,single,parallel,2,400,96.21
3MC,complete,parallel,2,400,75.44
3MC,average,parallel,2,400,89.31
3MC,ward,parallel,2,400,746.35
3MC,centroid,parallel,2,400,461.95
3MC,median,parallel,2,400,732.54
3MC,single,parallel,4,400,52.80
3MC,complete,parallel,4,400,39.31
3MC,average,parallel,4,400,38.05
3MC,ward,parallel,4,400,236.47
3MC,centroid,parallel,4,400,238.07
3MC,median,parallel,4,400,236.84
3MC,single,parallel,8,400,37.18
3MC,complete,parallel,8,400,35.81
3MC,average,parallel,8,400,38.73
3MC,ward,parallel,8,400,150.97
3MC,centroid,parallel,8,400,157.05
3MC,median,parallel,8,400,154.17
3MC,single,parallel,16,400,69.71
3MC,complete,parallel,16,400,72.90
3MC,average,parallel,16,400,69.90
3MC,ward,parallel,16,400,111.72
3MC,centroid,parallel,16,400,113.79
3MC,median,parallel,16,400,112.66
