dataset,linkage,mode,threads,n_points,wall_ms
zelnik6,single,serial,4,238,13.66
zelnik6,complete,serial,4,238,13.35
zelnik6,average,serial,4,238,14.53
zelnik6,ward,serial,4,238,106.54
zelnik6,centroid,serial,4,238,98.92
zelnik6,median,serial,4,238,97.18
zelnik1,single,serial,4,299,26.68
zelnik1,complete,serial,4,299,31.15
zelnik1,average,serial,4,299,28.68
zelnik1,ward,serial,4,299,206.28
zelnik1,centroid,serial,4,299,192.99
zelnik1,median,serial,4,299,192.97
3MC,single,serial,4,400,68.18
3MC,complete,serial,4,400,65.99
3MC,average,serial,4,400,84.13
3MC,ward,serial,4,400,533.56
3MC,centroid,serial,4,400,496.82
3MC,median,serial,4,400,491.47
target,single,serial,4,770,487.41
target,complete,serial,4,770,494.23
target,average,serial,4,770,553.88
target,ward,serial,4,770,3712.81
target,centroid,serial,4,770,3396.21
target,median,serial,4,770,3419.65
2spiral,single,serial,4,1000,942.73
2spiral,complete,serial,4,1000,887.12
2spiral,average,serial,4,1000,966.75
2spiral,ward,serial,4,1000,7741.99
2spiral,centroid,serial,4,1000,7212.73
2spiral,median,serial,4,1000,7180.92
smile2,single,serial,4,1000,1012.14
smile2,complete,serial,4,1000,1006.74
smile2,average,serial,4,1000,1117.20
smile2,ward,serial,4,1000,7879.77
smile2,centroid,serial,4,1000,7708.29
smile2,median,serial,4,1000,7476.36
diamond9,single,serial,4,3000,38944.10
diamond9,complete,serial,4,3000,39709.38
diamond9,average,serial,4,3000,42923.07
diamond9,ward,serial,4,3000,225792.68
diamond9,centroid,serial,4,3000,216245.71
diamond9,median,serial,4,3000,219596.73
complex9,single,serial,4,3031,40845.28
complex9,complete,serial,4,3031,42377.75
complex9,average,serial,4,3031,45566.16
complex9,ward,serial,4,3031,229931.84
complex9,centroid,serial,4,3031,222693.82
complex9,median,serial,4,3031,223939.41
zelnik6,single,parallel,4,238,12.59
zelnik6,complete,parallel,4,238,13.00
zelnik6,average,parallel,4,238,13.27
zelnik6,ward,parallel,4,238,66.39
zelnik6,centroid,parallel,4,238,157.16
zelnik6,median,parallel,4,238,56.84
zelnik1,single,parallel,4,299,16.91
zelnik1,complete,parallel,4,299,17.99
zelnik1,average,parallel,4,299,22.81
zelnik1,ward,parallel,4,299,242.17
zelnik1,centroid,parallel,4,299,80.92
zelnik1,median,parallel,4,299,79.26
3MC,single,parallel,4,400,46.49
3MC,complete,parallel,4,400,44.68
3MC,average,parallel,4,400,46.97
3MC,ward,parallel,4,400,302.06
3MC,centroid,parallel,4,400,261.56
3MC,median,parallel,4,400,254.50
target,single,parallel,4,770,305.86
target,complete,parallel,4,770,350.37
target,average,parallel,4,770,359.81
target,ward,parallel,4,770,1714.08
target,centroid,parallel,4,770,1774.84
target,median,parallel,4,770,1679.39
2spiral,single,parallel,4,1000,539.19
2spiral,complete,parallel,4,1000,446.96
2spiral,average,parallel,4,1000,572.20
2spiral,ward,parallel,4,1000,3104.60
2spiral,centroid,parallel,4,1000,3329.46
2spiral,median,parallel,4,1000,3221.99
smile2,single,parallel,4,1000,470.09
smile2,complete,parallel,4,1000,478.34
smile2,average,parallel,4,1000,528.17
smile2,ward,parallel,4,1000,3145.70
smile2,centroid,parallel,4,1000,3514.08
smile2,median,parallel,4,1000,3450.97
diamond9,single,parallel,4,3000,22844.59
diamond9,complete,parallel,4,3000,21677.04
diamond9,average,parallel,4,3000,22586.74
diamond9,ward,parallel,4,3000,99593.72
diamond9,centroid,parallel,4,3000,102714.48
diamond9,median,parallel,4,3000,99452.70
complex9,single,parallel,4,3031,24928.15
complex9,complete,parallel,4,3031,23521.88
complex9,average,parallel,4,3031,24181.73
complex9,ward,parallel,4,3031,104667.74
complex9,centroid,parallel,4,3031,107141.58
complex9,median,parallel,4,3031,104699.91
zelnik6,single,cuda,4,238,1749.14
zelnik6,complete,cuda,4,238,2568.64
zelnik6,average,cuda,4,238,2552.19
zelnik6,ward,cuda,4,238,1913.18
zelnik6,centroid,cuda,4,238,1912.02
zelnik6,median,cuda,4,238,1907.23
zelnik1,single,cuda,4,299,1743.62
zelnik1,complete,cuda,4,299,3473.15
zelnik1,average,cuda,4,299,3065.30
zelnik1,ward,cuda,4,299,2437.35
zelnik1,centroid,cuda,4,299,1873.71
zelnik1,median,cuda,4,299,2609.22
3MC,single,cuda,4,400,4143.98
3MC,complete,cuda,4,400,4036.37
3MC,average,cuda,4,400,1780.22
3MC,ward,cuda,4,400,3157.54
3MC,centroid,cuda,4,400,3191.84
3MC,median,cuda,4,400,3158.68
target,single,cuda,4,770,6783.02
target,complete,cuda,4,770,7231.00
target,average,cuda,4,770,7974.69
target,ward,cuda,4,770,5871.97
target,centroid,cuda,4,770,4668.07
target,median,cuda,4,770,5356.44
2spiral,single,cuda,4,1000,26227.57
2spiral,complete,cuda,4,1000,8885.68
2spiral,average,cuda,4,1000,9426.87
2spiral,ward,cuda,4,1000,6852.55
2spiral,centroid,cuda,4,1000,8023.79
2spiral,median,cuda,4,1000,6453.00
